Genome	B109_23_EFNP_N1 Relative Abundance (%)	B111F_22_EFNP_N1 Relative Abundance (%)	B11_23_RUNR Relative Abundance (%)	B120_23_EFNP_TC Relative Abundance (%)	B163F_22_EFNP_N1 Relative Abundance (%)	B184F_22_EFNP_BB Relative Abundance (%)	B18F_22_EFNP_N1 Relative Abundance (%)	B19_1_23_RUNR Relative Abundance (%)	B19_2_23_RUNR Relative Abundance (%)	B201_23_EFNP_BB Relative Abundance (%)	B2_1_23_RUNR Relative Abundance (%)	B218_23_EFNP_N96 Relative Abundance (%)	B220_23_EFNP_FF Relative Abundance (%)	B246F_22_EFNP_N1 Relative Abundance (%)	B250F_22_EFNP_CV Relative Abundance (%)	B29F_22_EFNP_BB Relative Abundance (%)	B31_23_EFNP_N31 Relative Abundance (%)	B328_23_EFNP_CC Relative Abundance (%)	B33_23_RUNR Relative Abundance (%)	B357_23_EFNP_TE Relative Abundance (%)	B361_23_EFNP_N88 Relative Abundance (%)	B362F_22_EFNP_WH Relative Abundance (%)	B363_23_EFNP_WH Relative Abundance (%)	B369F_22_EFNP_CV Relative Abundance (%)	B382_23_EFNP_CC Relative Abundance (%)	B39_23_RUNR Relative Abundance (%)	B407_23_EFNP_DW Relative Abundance (%)	B441_23_EFNP_RE Relative Abundance (%)	B458_23_EFNP_N1 Relative Abundance (%)	B461F_22_EFNP_BB Relative Abundance (%)	B462_23_EFNP_CV Relative Abundance (%)	B466F_22_EFNP_N1 Relative Abundance (%)	B478_23_EFNP_NB Relative Abundance (%)	B523F_22_EFNP_DW Relative Abundance (%)	B534F_22_EFNP_CC Relative Abundance (%)	B6_23_RUNR Relative Abundance (%)	B63_23_RUNR Relative Abundance (%)	B83F_22_EFNP_WH Relative Abundance (%)	FS1_1_23_RUNR Relative Abundance (%)	FS11F_22_EFNP_N1 Relative Abundance (%)	No_69_road_23_EFNP_N69 Relative Abundance (%)
unmapped	27.943743	53.284657	75.03119	25.123375	35.204548	30.704487	35.10967	49.104965	90.50603	25.480848	63.274704	24.37104	33.021187	31.038088	27.992762	36.251102	26.111382	28.511488	29.530287	33.173008	30.619944	25.75798	29.58932	30.45705	35.39128	29.00521	33.016323	31.715351	32.152493	32.217842	28.171295	32.920624	93.647316	29.213737	31.094837	28.319382	40.607334	34.246372	79.13595	32.491405	33.048153
nhnw_bin.100	0.00594031	0.018569456	0.005142987	0.0002176701	0.023046026	0.017906876	0.008701751	0.02345614	0.0013597193	0.0036940186	0.0027773296	0.0015396217	0.0007833789	0.031538792	0.008052139	0.02692571	0.017951235	0.012428529	0.009883311	0.023243241	0.003167395	0.06638898	0.033874363	0.00918235	0.0008986911	0.02872922	0.0063720522	0.014453293	0.0027547008	0.031045655	0.012434498	0.008740882	0.0014863688	0.006201504	0.017075934	0.009869529	0.021692846	0.011336114	0.0039378004	0.036805887	0.01999174
nhnw_bin.101	0.00853743	0.037595518	0.008378557	0.034293897	0.07668442	0.19247414	0.11754182	0.07842139	0.005678816	0.07691328	0.011048473	0.06295512	0.044177726	0.022350488	0.039468218	0.040343564	0.05773978	0.03723164	0.03765718	0.039133746	0.08629267	0.070721164	0.049545486	0.045343652	0.0040255515	0.09530349	0.030364221	0.021272875	0.040294513	0.02105396	0.013590264	0.008121004	0.0018067585	0.0032365753	0.007774985	0.011183504	0.019177848	0.028963018	0.005040853	0.046995066	0.15272607
nhnw_bin.102	0.0044354172	0.00083040126	0.000058765494	0.03209715	0.008095599	0.006370673	0.0031696178	0.00014986623	0.00095601	0.011886709	0.010833022	0.00082070683	0.0016370933	0.00064852065	0.03306745	0.0007876486	0.026928693	0.00045394426	0.000101197584	0.0017946117	0.00007584571	0.003112171	0.0053414656	0.12658533	0.10408957	0.0073423022	0.009821407	0.000103082675	0.10606807	0.04126009	0.005331002	0.0004093997	0	0.06515403	0.0009986743	0.0004943214	0.00003510391	0.0010673489	0.000037196605	0.0064098407	0.0009837445
nhnw_bin.103	0.0043606022	0.0074017146	0.0038700895	0.011899905	0.0082358485	0.28004444	0.008108824	0.020701917	0.0019396394	0.008931437	0.01864183	0.018469024	0.0060505387	0.11257166	0.020069303	0.09788771	0.0045687803	0.014935734	0.022852113	0.022252826	0.12835969	0.00590624	0.006588499	0.04400763	0.10480027	0.049486246	0.08189866	0.11404633	0.019834256	0.0056564556	0.121262394	0.0019816433	0.0008290041	0.027150031	0.019377805	0.04509155	0.035912428	0.11674115	0.005812043	0.08261613	0.0092315385
nhnw_bin.104	1.0788112	0.12486308	0.110639356	0.014328873	0.22944874	0.15728526	0.28704736	0.07672205	0.0071185133	0.16357365	0.039048046	0.43527037	0.09009127	0.18919621	1.1328081	0.13147828	0.0849101	0.05389744	0.561144	0.26976478	0.075615995	0.14420609	0.42830572	0.06847566	0.10661992	0.08894501	0.07138874	0.33153963	0.33219963	0.32030097	1.2156284	0.3105925	0.005179377	0.1134952	0.6174107	0.3814644	0.13321945	0.057802107	0.04160382	0.066741675	0.036887974
nhnw_bin.105	0.0023942317	0.004735254	0.0031321663	0.0073945103	0.038741	0.005725392	0.105506435	0.0067765987	0.0008401391	0.0042597796	0.0037683514	0.024272915	0.0060721524	0.006027331	0.07488101	0.002466259	0.017421989	0.0041720215	0.045044947	0.003998915	0.0040747197	0.013484572	0.0061451085	0.03164847	0.05208322	0.034175694	0.0014199164	0.008772078	0.0057162354	0.005400492	0.0028574222	0.0075041694	0.00053208816	0.058778744	0.014846728	0.0011218985	0.017509999	0.016450994	0.0012871611	0.016792422	0.026055656
nhnw_bin.106	0.03031451	0.00014512052	0.016264345	0.02970499	0.0008842854	0.009719958	0.00014470448	0.013178806	0.02126052	0.000026415166	0.04627445	0.0029967362	0.0005454191	0.00030122153	0.010836685	0.016740726	0.0003310141	0.0047130384	0.041136432	0.00004319074	0.00013246317	0.06706298	0.010842187	0.06148629	0.0012790277	0.028916765	0.034458585	0.00022120823	0.009396672	0.002005738	0.007073153	0.011122683	0.0077207293	0.0093894955	0.013195965	0.012141176	0.0005117328	0.010081186	0.011794276	0.00021735067	0.037642173
nhnw_bin.107	0.00023326027	0.00027954363	0.009931108	0.0005727172	0.075796895	0.0006165508	0.0597738	0.040608436	0.0051141237	0.00022319016	0.00016021443	0.00037815128	0.00038615512	0.5940167	0.00035356256	0.00046559254	0.0004595127	0.00025160247	0.000349394	0.00071596634	0.0004985211	0.00031706181	0.00030609957	0.0010058323	0.00020091407	0.006943967	0.0005256007	0.00022472847	0.00038375088	0.039228264	0.00021019937	0.0021043215	0.00002933078	0.00026103202	0.00026479262	0.0008599862	0.00012654293	0.00057362235	0.025886247	0.2755649	0.0004995405
nhnw_bin.108	0.006629261	0.0125376955	0.0049024853	0.18091165	0.044018015	0.02469354	0.049293526	0.021621982	0.0028126582	0.025620447	0.012258976	0.012782153	0.023091234	0.01776017	0.03238879	0.014208341	0.025765002	0.020464173	0.0127129955	0.0063763494	0.014836356	0.014619101	0.025083652	0.090140566	0.05019302	0.022524994	0.018498078	0.0067420714	0.0071929516	0.008675558	0.01131642	0.004951566	0.0010122921	0.013506668	0.007971577	0.012965547	0.007885272	0.048332002	0.003692948	0.040116455	0.058024004
