Genome	B109_23_EFNP_N1 Relative Abundance (%)	B111F_22_EFNP_N1 Relative Abundance (%)	B11_23_RUNR Relative Abundance (%)	B120_23_EFNP_TC Relative Abundance (%)	B163F_22_EFNP_N1 Relative Abundance (%)	B184F_22_EFNP_BB Relative Abundance (%)	B18F_22_EFNP_N1 Relative Abundance (%)	B19_1_23_RUNR Relative Abundance (%)	B19_2_23_RUNR Relative Abundance (%)	B201_23_EFNP_BB Relative Abundance (%)	B2_1_23_RUNR Relative Abundance (%)	B218_23_EFNP_N96 Relative Abundance (%)	B220_23_EFNP_FF Relative Abundance (%)	B246F_22_EFNP_N1 Relative Abundance (%)	B250F_22_EFNP_CV Relative Abundance (%)	B29F_22_EFNP_BB Relative Abundance (%)	B31_23_EFNP_N31 Relative Abundance (%)	B328_23_EFNP_CC Relative Abundance (%)	B33_23_RUNR Relative Abundance (%)	B357_23_EFNP_TE Relative Abundance (%)	B361_23_EFNP_N88 Relative Abundance (%)	B362F_22_EFNP_WH Relative Abundance (%)	B363_23_EFNP_WH Relative Abundance (%)	B369F_22_EFNP_CV Relative Abundance (%)	B382_23_EFNP_CC Relative Abundance (%)	B39_23_RUNR Relative Abundance (%)	B407_23_EFNP_DW Relative Abundance (%)	B441_23_EFNP_RE Relative Abundance (%)	B458_23_EFNP_N1 Relative Abundance (%)	B461F_22_EFNP_BB Relative Abundance (%)	B462_23_EFNP_CV Relative Abundance (%)	B466F_22_EFNP_N1 Relative Abundance (%)	B478_23_EFNP_NB Relative Abundance (%)	B523F_22_EFNP_DW Relative Abundance (%)	B534F_22_EFNP_CC Relative Abundance (%)	B6_23_RUNR Relative Abundance (%)	B63_23_RUNR Relative Abundance (%)	B83F_22_EFNP_WH Relative Abundance (%)	EHI01172 Relative Abundance (%)	EHI01174 Relative Abundance (%)	EHI01175 Relative Abundance (%)	EHI01176 Relative Abundance (%)	EHI01177 Relative Abundance (%)	EHI01178 Relative Abundance (%)	EHI01179 Relative Abundance (%)	EHI01180 Relative Abundance (%)	EHI02781 Relative Abundance (%)	EHI02786 Relative Abundance (%)	EHI02790 Relative Abundance (%)	EHI02800 Relative Abundance (%)	EHI02805 Relative Abundance (%)	EHI02809 Relative Abundance (%)	EHI02814 Relative Abundance (%)	EHI02816 Relative Abundance (%)	EHI03094 Relative Abundance (%)	EHI03095 Relative Abundance (%)	EHI03096 Relative Abundance (%)	EHI03097 Relative Abundance (%)	EHI03098 Relative Abundance (%)	EHI03099 Relative Abundance (%)	EHI03100 Relative Abundance (%)	EHI03101 Relative Abundance (%)	EHI03102 Relative Abundance (%)	EHI03103 Relative Abundance (%)	EHI03104 Relative Abundance (%)	EHI03105 Relative Abundance (%)	EHI03106 Relative Abundance (%)	EHI03107 Relative Abundance (%)	EHI03108 Relative Abundance (%)	EHI03109 Relative Abundance (%)	EHI03269 Relative Abundance (%)	EHI03270 Relative Abundance (%)	EHI03273 Relative Abundance (%)	EHI03274 Relative Abundance (%)	EHI03277 Relative Abundance (%)	EHI03279 Relative Abundance (%)	EHI03282 Relative Abundance (%)	EHI03285 Relative Abundance (%)	EHI03286 Relative Abundance (%)	EHI03289 Relative Abundance (%)	EHI03290 Relative Abundance (%)	EHI03292 Relative Abundance (%)	EHI03293 Relative Abundance (%)	EHI03297 Relative Abundance (%)	FS1_1_23_RUNR Relative Abundance (%)	FS11F_22_EFNP_N1 Relative Abundance (%)	No_69_road_23_EFNP_N69 Relative Abundance (%)
unmapped	23.957771	49.605377	72.63584	21.934998	29.888218	23.240107	27.489788	45.16101	89.79434	19.48673	60.62848	19.028973	27.071941	26.494968	22.234953	30.773443	21.070354	22.092468	25.335938	27.982199	25.2083	20.827215	24.270988	28.083551	30.361187	23.022747	27.913439	26.752264	25.754345	27.694248	22.347439	28.547876	93.25638	25.023954	26.072193	22.3261	33.87071	25.430882	43.970787	34.186535	37.09513	35.68064	32.791424	40.76003	36.85844	38.66342	43.002094	43.09509	42.432846	44.236557	41.55797	43.799007	42.58285	42.96729	46.031136	35.44405	38.612633	36.750973	33.901535	42.255466	38.02842	39.936386	42.87088	42.97306	42.355747	44.10073	41.501904	43.67876	42.556824	42.873287	37.681717	47.026527	44.58399	43.367638	28.272617	46.946507	42.64676	36.761932	35.641663	39.765167	47.506733	48.96363	49.998386	48.039333	77.24662	27.669674	29.541397
EHA05391_bin.100	0.0039400025	0.004614715	0.0012398083	0.0060007735	0.0017535506	0.0042171874	0.0018158264	0.0015691833	0.0007565055	0.0020922124	0.00024842512	0.003373172	0.002696856	0.003319976	0.0060139685	0.0032192492	0.0027566876	0.0032242297	0.0045074257	0.0033002172	0.0034135347	0.0035525514	0.0016080737	0.00087763794	0.015579473	0.0015431653	0.0062312935	0.0041715684	0.0041524805	0.0057909256	0.005866385	0.0022499973	0.00045885603	0.0039716456	0.004410898	0.012804485	0.0028031438	0.0016955324	0.056180794	0.8046372	0.43877882	0.65158224	0.09574985	0.28091523	0.13598832	0.26114634	0.0025813503	0.0021415618	0.0025265387	0.0022984976	0.0026547376	0.002388504	0.0024454016	0.001986412	0.05927788	0.85461664	0.4598226	0.68080693	0.10387849	0.2931152	0.144496	0.26893395	0.0026219503	0.0022744054	0.0024659352	0.002391284	0.0025999583	0.0024509868	0.0022714876	0.00192646	0.016129296	0.0026229806	0.6927573	0.0020745327	0.4739116	0.0024125334	0.22481191	1.0014279	0.15639001	0.21436164	0.0024492922	0.0028379704	0.0061129485	0.0022819904	0.0025059886	0.003156373	0.0016930446
EHA05391_bin.101	0.000026495558	0.0000014580756	0.000006576729	0.000039721024	0.00020345733	0.000026045574	0.000057844496	0.0000023074826	0	0.0000072015064	0.000008170769	0.000024779061	0.000016153981	0.0000186036	0.00011305469	0.000012512051	0.00007965191	0.000013261567	0.00013440059	0.00002641353	0.0000686948	0.00007924594	0.0004838455	0.000048905666	0.0021378286	0.00072272366	0.000018422304	0.000035737532	0.0009817157	0.000026272992	0.000024978803	0.002346095	0.000025035919	0.000022416421	0.000008357559	0.00003721454	0.000024092858	0.000025229427	0.0004993088	0.000112024216	0.0002841358	0.000030188092	0.00015725366	0.00019824976	0.00016909893	0.00025064845	0	0	0.00000464207	0	0	0	0	0	0.0004376488	0.00020736209	0.00034359674	0.000043804564	0.00010890451	0.0002510428	0.00008284464	0.00021734518	0	0	0	0	0	0	0	0	0.0006744047	0	0.00011386523	0	0.21296103	0.0000023848597	0.00004119296	0.00020103641	0.26553228	0.00032274693	0	0	0	0	0.000009698013	0.000027020411	0.000016118525
EHA05391_bin.102	0.005009484	0.0022368685	0.0012645451	0.11266456	0.0020837816	0.006704134	0.0038729534	0.0017823532	0.0007895446	0.01107188	0.001849969	0.020118313	0.04540397	0.0054554367	0.007203575	0.006129453	0.015848821	0.015518509	0.01908813	0.019551424	0.011751835	0.006263951	0.0091761835	0.008014696	0.019586576	0.015661545	0.010189104	0.018513806	0.0056576505	0.0051392014	0.005323751	0.00089401385	0.0006379148	0.003886587	0.0032710552	0.012854208	0.014475528	0.004498201	1.2385587	0.094420806	0.011034896	0.36020824	0.12763324	0.14142756	1.7370181	0.12775521	0.0003937404	0.0003028833	0.00033510698	0.00062462146	0.0003415354	0.0003978445	0.00043629907	0.000263626	1.2599416	0.0986332	0.011207016	0.36556762	0.12772761	0.13790427	1.7490555	0.144766	0.00047347776	0.00036546073	0.00029163493	0.0005366211	0.00044325666	0.0004895239	0.00036148718	0.00023435685	0.0053230403	0.0011302717	0.016103502	0.0005658278	0.16457681	0.0013850109	0.2881306	0.020488914	0.17093453	0.08808476	0.0014638815	0.0015527089	0.0004339915	0.0015619355	0.00061370037	0.01321818	0.054714415
EHA05391_bin.103	0.00006635885	0.000043301192	0.00005174817	0.00003099186	0.000085132764	0.000047287158	0.00006203147	0.00009914276	0.000014145592	0.00016538947	0.000058582566	0.0000749303	0.000052440424	0.0000646769	0.00010665616	0.000063159605	0.00005525598	0.00003512102	0.00008285667	0.000022339045	0.000043511765	0.000102211634	0.000030020985	0.00019962854	0.0000123475575	0.00008210161	0.0000858458	0.00006843979	0.000042821357	0.00007693895	0.000072618175	0.00009878377	0	0.00008423231	0.00007870034	0.000072766336	0.00005932483	0.00016962095	0.03243873	0.00005119612	0.00016463919	0.08430043	0.03714306	0.00008994114	0.00013094796	0.098291	0.00003938359	0.00002002842	0.000018540028	0.000042665873	0.000024247456	0.000025659696	0.000029881858	0.000008774485	0.03363365	0.000043041768	0.00016424744	0.08841669	0.03881945	0.000080384394	0.0000715876	0.103213236	0.000010700058	0.0000345654	0.000025621219	0.000012137751	0.000017455528	0.000016145656	0.0000049410264	0.000029861347	0.08140632	0.000006151222	0.021265307	0.000008108004	0.000077501965	0.000009358381	0.00011225526	0.00007622331	0.00012067987	0.00014887418	0.000019555519	0.000017015322	0.000011562148	0.00001228236	0.00002345551	0.00006552554	0.000050754777
EHA05391_bin.104	0.000029359127	0.000050541406	0.00003445272	0.00023930508	0.00002717026	0.00012902572	0.000052412663	0.000041327814	0.000012593819	0.00003754329	0.000002262441	0.00010858185	0.00009600547	0.000052300747	0.00009474564	0.0000697403	0.0000686207	0.000097034295	0.0002716509	0.00013908978	0.00010004194	0.00008007735	0.00003748852	0.000034117314	0.00023550901	0.000033520344	0.00012788412	0.00012763031	0.000098808356	0.00008473802	0.00006337836	0.000047563062	0.0000052078535	0.00016343065	0.00018629874	0.00019899213	0.000088747984	0.00006791356	0.03237794	0.0006387474	0.000845361	0.08085303	0.028296852	0.0010251402	0.08073315	0.020768095	0.00009974406	0.00013852246	0.00010427026	0.00012785879	0.00009737808	0.000096576754	0.00010814263	0.00009520407	0.03282156	0.0006453972	0.0007997038	0.08184924	0.030476985	0.00093126245	0.083993785	0.020941218	0.000107349224	0.00012695577	0.0000784934	0.000073117364	0.00007611183	0.00012262633	0.00008453482	0.00008705413	0.018695535	0.0000699946	0.05005742	0.000092232374	0.08984493	0.0001273686	0.0004033639	0.00086718175	0.06772128	0.021449486	0.00006565121	0.000036707635	0.00015342179	0.00006705949	0.000029165136	0.000034072757	0.000052138388
EHA05391_bin.105	0.0012353405	0.000480758	0.0009977219	0.0024460242	0.002662544	0.001072958	0.0012263091	0.0009059056	0.00001563944	0.0010645648	0.0049300557	0.0004906237	0.0010777517	0.0012934936	0.002126945	0.0010452218	0.004691284	0.00067387376	0.0008283946	0.0008959988	0.0002968775	0.0010022279	0.0011273968	0.0026278847	0.0010277329	0.0009199435	0.00020465766	0.0010261261	0.00030584118	0.0012405519	0.00066539267	0.0013471798	0.0000634737	0.00066322304	0.0007607269	0.00019371162	0.0016895097	0.0019530768	0.010662897	0.001350413	0.0072829165	0.018808657	0.029060956	0.0005373605	0.31564832	0.22572075	0.0002094213	0.00032208048	0.000268925	0.00039695972	0.00020466707	0.00035219442	0.00035423925	0.00038270498	0.010779521	0.0011333887	0.008349959	0.020053547	0.03003041	0.000408845	0.34037048	0.2437272	0.00030331186	0.00034227705	0.00033700213	0.00034071592	0.00027655993	0.0003243449	0.00032064016	0.0002622688	0.68391263	0.0001871054	0.06273972	0.000323678	0.011650847	0.00026518296	0.00936968	0.012235691	0.12312266	0.03230951	0.0002347939	0.00027770965	0.00040057642	0.00026731243	0.00022837389	0.0009988	0.0023270966
EHA05391_bin.107	0.00048190262	0.0012306306	0.0011238023	0.0009139743	0.0009855188	0.0026971602	0.0010543531	0.0031982902	0.00028241804	0.0007201077	0.0006780113	0.0014373157	0.00044044282	0.0017194108	0.0011708932	0.002603914	0.0013856753	0.0019231081	0.0039062435	0.002456918	0.0023784572	0.0010283918	0.0020869665	0.0018177794	0.00047400696	0.0017082589	0.0014821857	0.00075415574	0.0011128949	0.001674302	0.0007694915	0.0018686919	0.00024962	0.0013238905	0.0012962631	0.0016637784	0.0013188514	0.0030464113	0.0033994908	0.019765789	0.012801874	0.014510138	0.03780979	0.0010770704	0.002659236	0.025506373	0.0014657421	0.0018996415	0.0013815449	0.0021881189	0.0012650521	0.0020135823	0.0017287874	0.0015963725	0.0033689388	0.01973503	0.012640306	0.014206072	0.03853902	0.0012396133	0.0026134823	0.024614457	0.00157062	0.0019011615	0.0013446382	0.002072881	0.001330187	0.0017413865	0.001670081	0.0017130865	0.11810324	0.00062511454	0.013523592	0.0018782371	0.01866678	0.000737012	0.0592334	0.00469111	0.10920878	0.022172181	0.00053186563	0.0008716659	0.0013037213	0.00074344204	0.0011708436	0.0014899763	0.00298982
EHA05391_bin.108	0.0034988828	0.0044747493	0.003562221	0.002911512	0.020658486	0.0045259595	0.030942926	0.0054959534	0.00066219125	0.008508786	0.0016413492	0.008919087	0.004659784	0.008928105	0.007663531	0.005511824	0.0032535356	0.00795636	0.0060200617	0.004063239	0.0077447095	0.007295309	0.011915666	0.0036856458	0.00303495	0.005633937	0.0051175198	0.0070299264	0.013425453	0.0032849265	0.009045366	0.006715563	0.0005642164	0.009159685	0.010568483	0.012635648	0.0060411575	0.005865328	0.1512227	0.37616605	0.02103173	0.29746243	0.028693127	0.11562457	0.058404326	0.20780893	0.01163473	0.012848187	0.01270783	0.012144471	0.011129845	0.012025885	0.01131587	0.015968021	0.14184943	0.3421188	0.019420072	0.27764484	0.026795186	0.105636425	0.055016752	0.19247529	0.011964621	0.013393871	0.0133158695	0.012859377	0.010856962	0.012096576	0.011284057	0.016572364	0.041665807	0.009760279	0.037391305	0.013922625	0.03717233	0.010320632	0.034455515	0.35389096	0.02154772	0.028073845	0.009429798	0.009846647	0.009727463	0.010349819	0.0025502816	0.02800728	0.0052083093
EHA05391_bin.109	0.0016924124	0.00051399064	0.0004889964	0.00024133027	0.0007031603	0.0005643372	0.00094244815	0.0004428951	0.00017993891	0.0012190209	0.00012261368	0.0009288692	0.00039440475	0.00097007974	0.00078027026	0.0008658141	0.0007317282	0.0010202292	0.00072142464	0.0011071819	0.00089567737	0.0011285557	0.00095665356	0.00047593747	0.00023363117	0.00067709305	0.00060810806	0.0010090147	0.0008660265	0.0005412487	0.0011001811	0.0005733729	0.000093066024	0.0010649752	0.0006511831	0.00080563343	0.00054919475	0.00091353554	0.17387629	0.20575406	0.01143985	0.049000986	0.05109934	0.034967337	0.016552432	0.024125611	0.007299981	0.008894872	0.0102574155	0.00790893	0.007885276	0.006410161	0.008508841	0.009372119	0.1617589	0.18777895	0.010352794	0.044662718	0.048889447	0.032908235	0.015294642	0.022163685	0.0072107594	0.008573995	0.0103848735	0.008106947	0.0073403954	0.006319318	0.00880181	0.009576185	0.0074748415	0.0063545657	0.017395495	0.00731622	0.045767736	0.006123795	0.03939756	0.06595827	0.031409945	0.025836581	0.0060543553	0.0072397157	0.036156476	0.0065090936	0.0002220025	0.0007704112	0.000606537
