EHI_plaintext	sample_code	species	group	region	sample_type	order	sex	country	latitude	longitude	singlem_fraction	reads_post_fastp	host_reads	reads_lost_fastp_percent	metagenomic_bases	host_bases	bases_lost_fastp_percent	diversity	C	year	cluster	season	reserve	average_bacterial_archaeal_genome_size
B109_23_EFNP_N1		Lasiorhinus krefftii	NHNW	EFNP	Faecal	Diprotodontia					94.25	40698452	67385	0.036050615	5894314608	8215883	0.074156394			2023	no 1	winter	EFNP	2504177
B11_23_RUNR		Lasiorhinus krefftii	NHNW	RUNR	Faecal	Diprotodontia					25.28	80863184	24482	0.117301859	10752326061	2405051	0.222529385			2023	NA	winter	RUNR	2532253
B111F_22_EFNP_N1		Lasiorhinus krefftii	NHNW	EFNP	Faecal	Diprotodontia					60.66	38739182	98639	0.037398623	5529849659	12437227	0.087972177			2022	no 1	spring	EFNP	2556833
B120_23_EFNP_TC		Lasiorhinus krefftii	NHNW	EFNP	Faecal	Diprotodontia					100	35730808	25727	0.037177371	5235352832	3719272	0.065066159			2023	tennis court	winter	EFNP	2844802
B163F_22_EFNP_N1		Lasiorhinus krefftii	NHNW	EFNP	Faecal	Diprotodontia					90.15	68334336	420526	0.06958162	9508931629	48206164	0.138232319			2022	no 1	spring	EFNP	2505445
B184F_22_EFNP_BB		Lasiorhinus krefftii	NHNW	EFNP	Faecal	Diprotodontia					100	51857132	60988	0.073551071	7310895477	7030402	0.134187108			2022	big bend	spring	EFNP	2685566
B18F_22_EFNP_N1		Lasiorhinus krefftii	NHNW	EFNP	Faecal	Diprotodontia					92.97	57245520	100497	0.104082688	7656445728	10947832	0.205310944			2022	no 1	spring	EFNP	2687962
B19_1_23_RUNR		Lasiorhinus krefftii	NHNW	RUNR	Faecal	Diprotodontia					60.91	89003328	24771	0.12242521	11809270011	2555279	0.22870954			2023	NA	winter	RUNR	2753655
B19_2_23_RUNR		Lasiorhinus krefftii	NHNW	RUNR	Faecal	Diprotodontia					10.68	22314132	5077	0.018919865	3302701120	610974	0.038172601			2023	NA	winter	RUNR	2549504
B2_1_23_RUNR		Lasiorhinus krefftii	NHNW	RUNR	Faecal	Diprotodontia					52.7	36459924	3970	0.041720567	5336623580	536389	0.071012905			2023	NA	winter	RUNR	2616685
B201_23_EFNP_BB		Lasiorhinus krefftii	NHNW	EFNP	Faecal	Diprotodontia					93.98	127215024	58657	0.140263071	16252540762	5827904	0.272342186			2023	big bend	winter	EFNP	2816340
B218_23_EFNP_N96		Lasiorhinus krefftii	NHNW	EFNP	Faecal	Diprotodontia					93.63	140131080	46902	0.132555106	18636422136	4825305	0.235802787			2023	no 96	spring	EFNP	2920095
B220_23_EFNP_FF		Lasiorhinus krefftii	NHNW	EFNP	Faecal	Diprotodontia					83.6	21952008	43211	0.092981059	3068957480	5299419	0.158788283			2023	frances find	winter	EFNP	2833659
B246F_22_EFNP_N1		Lasiorhinus krefftii	NHNW	EFNP	Faecal	Diprotodontia					90.42	61639170	272642	0.116719673	8056304641	29784609	0.232632576			2022	no 1	spring	EFNP	2709888
B250F_22_EFNP_CV		Lasiorhinus krefftii	NHNW	EFNP	Faecal	Diprotodontia					92.23	296627520	578130	0.099558844	39387732877	61933269	0.206932266			2022	camp view	spring	EFNP	2721274
B29F_22_EFNP_BB		Lasiorhinus krefftii	NHNW	EFNP	Faecal	Diprotodontia					84.05	43370046	840544	0.106551703	5622957342	95387883	0.219859245			2022	big bend	spring	EFNP	2637695
B31_23_EFNP_N31		Lasiorhinus krefftii	NHNW	EFNP	Faecal	Diprotodontia					97.45	42767154	23214	0.04735434	6065021523	2707011	0.104902719			2023	no 31	winter	EFNP	2608491
B328_23_EFNP_CC		Lasiorhinus krefftii	NHNW	EFNP	Faecal	Diprotodontia					95.13	32459388	26922	0.117972553	4519761525	3280066	0.18605435			2023	comben court	winter	EFNP	2795290
B33_23_RUNR		Lasiorhinus krefftii	NHNW	RUNR	Faecal	Diprotodontia					80.95	41267408	74282	0.167173256	5534840696	8812079	0.259088144			2023	NA	winter	RUNR	2614441
