reference,querry,ani,alignment_coverage,primary_cluster
EHA05391_bin.100.fa.gz,EHA05391_bin.100.fa.gz,1.0,0.9931693989071039,647
nhnw_bin.173.fa.gz,EHA05391_bin.100.fa.gz,0.915315,0.8519021739130435,647
EHA05391_bin.100.fa.gz,nhnw_bin.173.fa.gz,0.916118,0.8688524590163934,647
nhnw_bin.173.fa.gz,nhnw_bin.173.fa.gz,1.0,0.9959239130434783,647
EHA05391_bin.101.fa.gz,EHA05391_bin.101.fa.gz,1.0,0.9794238683127572,374
EHA05391_bin.102.fa.gz,EHA05391_bin.102.fa.gz,1.0,0.9868073878627969,1230
EHA05391_bin.103.fa.gz,EHA05391_bin.103.fa.gz,1.0,0.9859719438877755,745
EHA05391_bin.104.fa.gz,EHA05391_bin.104.fa.gz,1.0,0.9918032786885246,617
EHA05391_bin.105.fa.gz,EHA05391_bin.105.fa.gz,1.0,0.9924242424242424,126
EHA05391_bin.107.fa.gz,EHA05391_bin.107.fa.gz,1.0,0.9805309734513274,206
nhnw_bin.330.fa.gz,EHA05391_bin.107.fa.gz,0.961951,0.6528704939919893,206
EHA05391_bin.107.fa.gz,nhnw_bin.330.fa.gz,0.963954,0.8814159292035398,206
nhnw_bin.330.fa.gz,nhnw_bin.330.fa.gz,1.0,0.9919893190921228,206
EHA05391_bin.108.fa.gz,EHA05391_bin.108.fa.gz,1.0,0.9929988331388565,1068
EHA05391_bin.109.fa.gz,EHA05391_bin.109.fa.gz,1.0,0.9726277372262774,875
EHA05415_bin.350.fa.gz,EHA05391_bin.109.fa.gz,0.975966,0.8554216867469879,875
EHA05391_bin.109.fa.gz,EHA05415_bin.350.fa.gz,0.9706480000000001,0.3686131386861314,875
EHA05415_bin.350.fa.gz,EHA05415_bin.350.fa.gz,1.0,0.9839357429718876,875
EHA05391_bin.10.fa.gz,EHA05391_bin.10.fa.gz,1.0,0.994279176201373,657
EHA05391_bin.110.fa.gz,EHA05391_bin.110.fa.gz,1.0,0.9773755656108597,1017
EHA05391_bin.111.fa.gz,EHA05391_bin.111.fa.gz,0.9999979999999999,0.9876160990712074,47
EHA05391_bin.112.fa.gz,EHA05391_bin.112.fa.gz,1.0,0.9812680115273775,844
nhnw_bin.440.fa.gz,EHA05391_bin.112.fa.gz,0.939705,0.7464183381088825,844
EHA05391_bin.112.fa.gz,nhnw_bin.440.fa.gz,0.9409449999999999,0.7492795389048992,844
nhnw_bin.440.fa.gz,nhnw_bin.440.fa.gz,1.0,0.9871060171919771,844
EHA05391_bin.113.fa.gz,EHA05391_bin.113.fa.gz,1.0,0.9772727272727273,296
nhnw_bin.529.fa.gz,EHA05391_bin.113.fa.gz,0.905172,0.519893899204244,296
EHA05391_bin.113.fa.gz,nhnw_bin.529.fa.gz,0.9053399999999999,0.9181818181818182,296
nhnw_bin.529.fa.gz,nhnw_bin.529.fa.gz,1.0,0.9893899204244032,296
EHA05391_bin.115.fa.gz,EHA05391_bin.115.fa.gz,1.0,0.9892280071813285,275
EHA05391_bin.116.fa.gz,EHA05391_bin.116.fa.gz,1.0,0.9826388888888888,562
EHA05391_bin.117.fa.gz,EHA05391_bin.117.fa.gz,1.0,0.9866920152091255,373
nhnw_bin.316.fa.gz,EHA05391_bin.117.fa.gz,0.890704,0.7721943048576214,373
EHA05391_bin.117.fa.gz,nhnw_bin.316.fa.gz,0.890584,0.8935361216730038,373
nhnw_bin.316.fa.gz,nhnw_bin.316.fa.gz,1.0,0.998324958123953,373
EHA05391_bin.118.fa.gz,EHA05391_bin.118.fa.gz,1.0,0.9772727272727273,477
EHA05391_bin.119.fa.gz,EHA05391_bin.119.fa.gz,0.999999,0.9892280071813285,614
EHA05391_bin.120.fa.gz,EHA05391_bin.120.fa.gz,1.0,0.9907834101382489,471
EHA05391_bin.121.fa.gz,EHA05391_bin.121.fa.gz,0.999999,1.0,1118
EHA05391_bin.122.fa.gz,EHA05391_bin.122.fa.gz,1.0,0.9705882352941176,290
EHA05391_bin.123.fa.gz,EHA05391_bin.123.fa.gz,1.0,0.9975186104218362,348
EHA05391_bin.124.fa.gz,EHA05391_bin.124.fa.gz,1.0,0.9952830188679245,1185
EHA05391_bin.125.fa.gz,EHA05391_bin.125.fa.gz,1.0,0.993103448275862,534
EHA05391_bin.126.fa.gz,EHA05391_bin.126.fa.gz,1.0,0.9834254143646409,253
nhnw_bin.187.fa.gz,EHA05391_bin.126.fa.gz,0.9842010000000001,0.9026217228464419,253
EHA05391_bin.126.fa.gz,nhnw_bin.187.fa.gz,0.976469,0.44567219152854515,253
nhnw_bin.187.fa.gz,nhnw_bin.187.fa.gz,1.0,0.9887640449438202,253
EHA05391_bin.127.fa.gz,EHA05391_bin.127.fa.gz,1.0,0.9887640449438202,255
EHA05391_bin.129.fa.gz,EHA05391_bin.129.fa.gz,1.0,0.9798136645962733,103
EHA05391_bin.12.fa.gz,EHA05391_bin.12.fa.gz,1.0,0.9857651245551602,201
nhnw_bin.573.fa.gz,EHA05391_bin.12.fa.gz,0.9232710000000001,0.3666191155492154,201
EHA05391_bin.12.fa.gz,nhnw_bin.573.fa.gz,0.9277500000000001,0.9217081850533808,201
nhnw_bin.573.fa.gz,nhnw_bin.573.fa.gz,1.0,0.9914407988587732,201
EHA05391_bin.130.fa.gz,EHA05391_bin.130.fa.gz,1.0,0.994263862332696,1131
EHA05391_bin.131.fa.gz,EHA05391_bin.131.fa.gz,1.0,0.9940564635958395,1223
EHA05391_bin.132.fa.gz,EHA05391_bin.132.fa.gz,1.0,0.99830220713073,244
EHA05391_bin.133.fa.gz,EHA05391_bin.133.fa.gz,1.0,0.9903264812575574,992
EHA05391_bin.134.fa.gz,EHA05391_bin.134.fa.gz,1.0,0.9811715481171548,722
nhnw_bin.41.fa.gz,EHA05391_bin.134.fa.gz,0.950246,0.6384266263237519,722
EHA05391_bin.134.fa.gz,nhnw_bin.41.fa.gz,0.9537309999999999,0.9058577405857741,722
nhnw_bin.41.fa.gz,nhnw_bin.41.fa.gz,1.0,0.9939485627836612,722
EHA05391_bin.135.fa.gz,EHA05391_bin.135.fa.gz,1.0,0.9902723735408561,863
EHA05391_bin.136.fa.gz,EHA05391_bin.136.fa.gz,1.0,0.9918032786885246,1009
EHA05391_bin.137.fa.gz,EHA05391_bin.137.fa.gz,1.0,0.9814126394052045,1060
EHA05391_bin.138.fa.gz,EHA05391_bin.138.fa.gz,1.0,0.9823008849557522,1
EHA05415_bin.272.fa.gz,EHA05391_bin.138.fa.gz,0.8837600000000001,0.7276507276507277,1
nhnw_bin.16.fa.gz,EHA05391_bin.138.fa.gz,0.9229799999999999,0.6448445171849427,1
EHA05391_bin.138.fa.gz,EHA05415_bin.272.fa.gz,0.884234,0.7765486725663717,1
EHA05415_bin.272.fa.gz,EHA05415_bin.272.fa.gz,1.0,0.9875259875259875,1
nhnw_bin.16.fa.gz,EHA05415_bin.272.fa.gz,0.879325,0.6563011456628478,1
EHA05391_bin.138.fa.gz,nhnw_bin.16.fa.gz,0.923922,0.8694690265486725,1
EHA05415_bin.272.fa.gz,nhnw_bin.16.fa.gz,0.878976,0.83991683991684,1
nhnw_bin.16.fa.gz,nhnw_bin.16.fa.gz,1.0,0.9934533551554828,1
EHA05391_bin.139.fa.gz,EHA05391_bin.139.fa.gz,1.0,1.0,398
EHA05391_bin.13.fa.gz,EHA05391_bin.13.fa.gz,1.0,0.9909365558912386,715
EHA05391_bin.140.fa.gz,EHA05391_bin.140.fa.gz,1.0,0.984251968503937,276
EHA05391_bin.141.fa.gz,EHA05391_bin.141.fa.gz,1.0,0.9948364888123924,248
nhnw_bin.514.fa.gz,EHA05391_bin.141.fa.gz,0.877529,0.8187599364069952,248
EHA05391_bin.141.fa.gz,nhnw_bin.514.fa.gz,0.879018,0.8709122203098106,248
nhnw_bin.514.fa.gz,nhnw_bin.514.fa.gz,1.0,0.9920508744038156,248
EHA05391_bin.143.fa.gz,EHA05391_bin.143.fa.gz,1.0,0.9666666666666667,250
EHA05391_bin.144.fa.gz,EHA05391_bin.144.fa.gz,1.0,0.991304347826087,1015
nhnw_bin.567.fa.gz,EHA05391_bin.144.fa.gz,0.992405,0.8746130030959752,1015
EHA05391_bin.144.fa.gz,nhnw_bin.567.fa.gz,0.991212,0.8231884057971014,1015
nhnw_bin.567.fa.gz,nhnw_bin.567.fa.gz,1.0,0.9907120743034056,1015
EHA05391_bin.146.fa.gz,EHA05391_bin.146.fa.gz,1.0,0.9835728952772074,1044
nhnw_bin.495.fa.gz,EHA05391_bin.146.fa.gz,0.978593,0.5701179554390564,1044
EHA05391_bin.146.fa.gz,nhnw_bin.495.fa.gz,0.98016,0.9137577002053389,1044
nhnw_bin.495.fa.gz,nhnw_bin.495.fa.gz,1.0,0.9973787680209698,1044
EHA05391_bin.147.fa.gz,EHA05391_bin.147.fa.gz,1.0,0.9775449101796407,1043
nhnw_bin.133.fa.gz,EHA05391_bin.147.fa.gz,0.986799,0.6573275862068966,1043
EHA05391_bin.147.fa.gz,nhnw_bin.133.fa.gz,0.9888790000000001,0.9281437125748503,1043
nhnw_bin.133.fa.gz,nhnw_bin.133.fa.gz,1.0,0.9989224137931034,1043
EHA05391_bin.149.fa.gz,EHA05391_bin.149.fa.gz,1.0,0.9800399201596807,652
nhnw_bin.217.fa.gz,EHA05391_bin.149.fa.gz,0.8843420000000001,0.6424682395644283,652
EHA05391_bin.149.fa.gz,nhnw_bin.217.fa.gz,0.889416,0.6906187624750499,652
nhnw_bin.217.fa.gz,nhnw_bin.217.fa.gz,1.0,0.9818511796733213,652
EHA05391_bin.14.fa.gz,EHA05391_bin.14.fa.gz,1.0,0.9905660377358491,278
EHA05391_bin.150.fa.gz,EHA05391_bin.150.fa.gz,1.0,0.9933035714285714,747
EHA05391_bin.151.fa.gz,EHA05391_bin.151.fa.gz,1.0,0.9944444444444445,782
EHA05391_bin.152.fa.gz,EHA05391_bin.152.fa.gz,0.9999979999999999,0.9873646209386282,305
EHA05391_bin.153.fa.gz,EHA05391_bin.153.fa.gz,1.0,0.9884726224783862,724
EHA05391_bin.154.fa.gz,EHA05391_bin.154.fa.gz,1.0,0.9605263157894737,345
EHA05415_bin.456.fa.gz,EHA05391_bin.154.fa.gz,0.985553,0.6301775147928994,345
EHA05391_bin.154.fa.gz,EHA05415_bin.456.fa.gz,0.992005,0.9912280701754386,345
EHA05415_bin.456.fa.gz,EHA05415_bin.456.fa.gz,1.0,1.0,345
EHA05391_bin.156.fa.gz,EHA05391_bin.156.fa.gz,1.0,0.982620320855615,170
nhnw_bin.390.fa.gz,EHA05391_bin.156.fa.gz,0.965341,0.8291970802919708,170
EHA05391_bin.156.fa.gz,nhnw_bin.390.fa.gz,0.965813,0.7566844919786097,170
nhnw_bin.390.fa.gz,nhnw_bin.390.fa.gz,1.0,0.983941605839416,170
EHA05391_bin.157.fa.gz,EHA05391_bin.157.fa.gz,1.0,0.9876819708846585,797
EHA05415_bin.142.fa.gz,EHA05391_bin.157.fa.gz,0.903694,0.8335483870967741,797
nhnw_bin.256.fa.gz,EHA05391_bin.157.fa.gz,0.983034,0.8268398268398268,797
EHA05391_bin.157.fa.gz,EHA05415_bin.142.fa.gz,0.9028,0.7323628219484882,797
EHA05415_bin.142.fa.gz,EHA05415_bin.142.fa.gz,1.0,0.9922580645161291,797
nhnw_bin.256.fa.gz,EHA05415_bin.142.fa.gz,0.9033669999999999,0.7077922077922078,797
EHA05391_bin.157.fa.gz,nhnw_bin.256.fa.gz,0.983493,0.8611422172452408,797
EHA05415_bin.142.fa.gz,nhnw_bin.256.fa.gz,0.903384,0.8541935483870968,797
nhnw_bin.256.fa.gz,nhnw_bin.256.fa.gz,1.0,0.9913419913419913,797
EHA05391_bin.158.fa.gz,EHA05391_bin.158.fa.gz,1.0,0.9895209580838323,802
nhnw_bin.387.fa.gz,EHA05391_bin.158.fa.gz,0.9428319999999999,0.851063829787234,802
EHA05391_bin.158.fa.gz,nhnw_bin.387.fa.gz,0.9438120000000001,0.7619760479041916,802
nhnw_bin.387.fa.gz,nhnw_bin.387.fa.gz,1.0,0.983633387888707,802
EHA05391_bin.159.fa.gz,EHA05391_bin.159.fa.gz,1.0,0.9914163090128756,1279
nhnw_bin.539.fa.gz,EHA05391_bin.159.fa.gz,0.8939090000000001,0.8133514986376021,1279
EHA05391_bin.159.fa.gz,nhnw_bin.539.fa.gz,0.892157,0.8741058655221745,1279
nhnw_bin.539.fa.gz,nhnw_bin.539.fa.gz,1.0,0.9945504087193461,1279
EHA05391_bin.15.fa.gz,EHA05391_bin.15.fa.gz,1.0,0.9787581699346405,147
EHA05415_bin.107.fa.gz,EHA05391_bin.15.fa.gz,0.98181,0.6975683890577508,147
EHA05391_bin.15.fa.gz,EHA05415_bin.107.fa.gz,0.9849469999999999,0.7598039215686274,147
EHA05415_bin.107.fa.gz,EHA05415_bin.107.fa.gz,1.0,0.9802431610942249,147
EHA05391_bin.160.fa.gz,EHA05391_bin.160.fa.gz,1.0,0.9914965986394558,17
nhnw_bin.420.fa.gz,EHA05391_bin.160.fa.gz,0.9226260000000001,0.9004237288135594,17
EHA05391_bin.160.fa.gz,nhnw_bin.420.fa.gz,0.923122,0.7210884353741497,17
nhnw_bin.420.fa.gz,nhnw_bin.420.fa.gz,0.999999,0.9957627118644068,17
EHA05391_bin.161.fa.gz,EHA05391_bin.161.fa.gz,0.999999,0.9929411764705882,1156
EHA05391_bin.162.fa.gz,EHA05391_bin.162.fa.gz,1.0,0.9836956521739131,1187
EHA05391_bin.264.fa.gz,EHA05391_bin.162.fa.gz,0.905201,0.40934065934065933,1187
nhnw_bin.18.fa.gz,EHA05391_bin.162.fa.gz,0.903182,0.4869831546707504,1187
EHA05391_bin.162.fa.gz,EHA05391_bin.264.fa.gz,0.9074850000000001,0.8125,1187
EHA05391_bin.264.fa.gz,EHA05391_bin.264.fa.gz,1.0,0.9931318681318682,1187
nhnw_bin.18.fa.gz,EHA05391_bin.264.fa.gz,0.895738,0.7611026033690659,1187
EHA05391_bin.162.fa.gz,nhnw_bin.18.fa.gz,0.905478,0.8342391304347826,1187
EHA05391_bin.264.fa.gz,nhnw_bin.18.fa.gz,0.895316,0.6662087912087912,1187
nhnw_bin.18.fa.gz,nhnw_bin.18.fa.gz,1.0,0.9862174578866769,1187
EHA05391_bin.163.fa.gz,EHA05391_bin.163.fa.gz,1.0,0.9930555555555556,698
EHA05391_bin.164.fa.gz,EHA05391_bin.164.fa.gz,1.0,1.0,1100
EHA05391_bin.166.fa.gz,EHA05391_bin.166.fa.gz,1.0,0.9963235294117647,904
EHA05391_bin.167.fa.gz,EHA05391_bin.167.fa.gz,1.0,0.9854368932038835,858
nhnw_bin.177.fa.gz,EHA05391_bin.167.fa.gz,0.9496410000000001,0.5485537190082644,858
EHA05391_bin.167.fa.gz,nhnw_bin.177.fa.gz,0.953331,0.8851132686084142,858
nhnw_bin.177.fa.gz,nhnw_bin.177.fa.gz,1.0,0.996900826446281,858
EHA05391_bin.168.fa.gz,EHA05391_bin.168.fa.gz,1.0,0.9779411764705882,877
EHA05415_bin.100.fa.gz,EHA05391_bin.168.fa.gz,0.975966,0.6427104722792608,877
EHA05391_bin.168.fa.gz,EHA05415_bin.100.fa.gz,0.9785739999999999,0.7794117647058824,877
