Genome	B2_1_23_RUNR Read Count	B2_1_23_RUNR Covered Fraction	B2_1_23_RUNR Length	B120_23_EFNP_TC Read Count	B120_23_EFNP_TC Covered Fraction	B120_23_EFNP_TC Length	B362F_22_EFNP_WH Read Count	B362F_22_EFNP_WH Covered Fraction	B362F_22_EFNP_WH Length	B18F_22_EFNP_N1 Read Count	B18F_22_EFNP_N1 Covered Fraction	B18F_22_EFNP_N1 Length	B357_23_EFNP_TE Read Count	B357_23_EFNP_TE Covered Fraction	B357_23_EFNP_TE Length	B111F_22_EFNP_N1 Read Count	B111F_22_EFNP_N1 Covered Fraction	B111F_22_EFNP_N1 Length	B31_23_EFNP_N31 Read Count	B31_23_EFNP_N31 Covered Fraction	B31_23_EFNP_N31 Length	B407_23_EFNP_DW Read Count	B407_23_EFNP_DW Covered Fraction	B407_23_EFNP_DW Length	B201_23_EFNP_BB Read Count	B201_23_EFNP_BB Covered Fraction	B201_23_EFNP_BB Length	B33_23_RUNR Read Count	B33_23_RUNR Covered Fraction	B33_23_RUNR Length	B462_23_EFNP_CV Read Count	B462_23_EFNP_CV Covered Fraction	B462_23_EFNP_CV Length	B218_23_EFNP_N96 Read Count	B218_23_EFNP_N96 Covered Fraction	B218_23_EFNP_N96 Length	B246F_22_EFNP_N1 Read Count	B246F_22_EFNP_N1 Covered Fraction	B246F_22_EFNP_N1 Length	B184F_22_EFNP_BB Read Count	B184F_22_EFNP_BB Covered Fraction	B184F_22_EFNP_BB Length	B109_23_EFNP_N1 Read Count	B109_23_EFNP_N1 Covered Fraction	B109_23_EFNP_N1 Length	B163F_22_EFNP_N1 Read Count	B163F_22_EFNP_N1 Covered Fraction	B163F_22_EFNP_N1 Length	B39_23_RUNR Read Count	B39_23_RUNR Covered Fraction	B39_23_RUNR Length	B382_23_EFNP_CC Read Count	B382_23_EFNP_CC Covered Fraction	B382_23_EFNP_CC Length	B11_23_RUNR Read Count	B11_23_RUNR Covered Fraction	B11_23_RUNR Length	B63_23_RUNR Read Count	B63_23_RUNR Covered Fraction	B63_23_RUNR Length	FS1_1_23_RUNR Read Count	FS1_1_23_RUNR Covered Fraction	FS1_1_23_RUNR Length	B441_23_EFNP_RE Read Count	B441_23_EFNP_RE Covered Fraction	B441_23_EFNP_RE Length	No_69_road_23_EFNP_N69 Read Count	No_69_road_23_EFNP_N69 Covered Fraction	No_69_road_23_EFNP_N69 Length	B461F_22_EFNP_BB Read Count	B461F_22_EFNP_BB Covered Fraction	B461F_22_EFNP_BB Length	B19_1_23_RUNR Read Count	B19_1_23_RUNR Covered Fraction	B19_1_23_RUNR Length	B19_2_23_RUNR Read Count	B19_2_23_RUNR Covered Fraction	B19_2_23_RUNR Length	B466F_22_EFNP_N1 Read Count	B466F_22_EFNP_N1 Covered Fraction	B466F_22_EFNP_N1 Length	B363_23_EFNP_WH Read Count	B363_23_EFNP_WH Covered Fraction	B363_23_EFNP_WH Length	B6_23_RUNR Read Count	B6_23_RUNR Covered Fraction	B6_23_RUNR Length	FS11F_22_EFNP_N1 Read Count	FS11F_22_EFNP_N1 Covered Fraction	FS11F_22_EFNP_N1 Length	B361_23_EFNP_N88 Read Count	B361_23_EFNP_N88 Covered Fraction	B361_23_EFNP_N88 Length	B478_23_EFNP_NB Read Count	B478_23_EFNP_NB Covered Fraction	B478_23_EFNP_NB Length	B83F_22_EFNP_WH Read Count	B83F_22_EFNP_WH Covered Fraction	B83F_22_EFNP_WH Length	B369F_22_EFNP_CV Read Count	B369F_22_EFNP_CV Covered Fraction	B369F_22_EFNP_CV Length	B250F_22_EFNP_CV Read Count	B250F_22_EFNP_CV Covered Fraction	B250F_22_EFNP_CV Length	B29F_22_EFNP_BB Read Count	B29F_22_EFNP_BB Covered Fraction	B29F_22_EFNP_BB Length	B523F_22_EFNP_DW Read Count	B523F_22_EFNP_DW Covered Fraction	B523F_22_EFNP_DW Length	B220_23_EFNP_FF Read Count	B220_23_EFNP_FF Covered Fraction	B220_23_EFNP_FF Length	B458_23_EFNP_N1 Read Count	B458_23_EFNP_N1 Covered Fraction	B458_23_EFNP_N1 Length	B534F_22_EFNP_CC Read Count	B534F_22_EFNP_CC Covered Fraction	B534F_22_EFNP_CC Length	B328_23_EFNP_CC Read Count	B328_23_EFNP_CC Covered Fraction	B328_23_EFNP_CC Length
nhnw_bin.100	1513	0.05274236	2729438	99	0.0032383956	2729438	45752	0.71148056	2729438	6866	0.1904	2729438	5774	0.17894526	2729438	10175	0.2868019	2729438	10821	0.30622458	2729438	1490	0.051812496	2729438	6410	0.15727706	2729438	5593	0.10390417	2729438	6097	0.18918876	2729438	2765	0.069991335	2729438	26003	0.54456085	2729438	12501	0.3472583	2729438	3665	0.1204094	2729438	22673	0.4884621	2729438	21112	0.48460966	2729438	410	0.013217373	2729438	5703	0.13510913	2729438	4838	0.16422062	2729438	1909	0.052357666	2729438	7812	0.25494406	2729438	12795	0.3420063	2729438	20691	0.4639805	2729438	27329	0.534787	2729438	393	0.012779553	2729438	6886	0.1751126	2729438	17695	0.4413216	2729438	7851	0.18481497	2729438	18984	0.42794633	2729438	1473	0.051034316	2729438	383	0.009422086	2729438	13363	0.28579912	2729438	8439	0.21599758	2729438	30607	0.532163	2729438	15614	0.3759217	2729438	5961	0.14084254	2729438	229	0.0064936443	2729438	1335	0.043331996	2729438	7928	0.25153676	2729438	5212	0.15825309	2729438
nhnw_bin.101	4464	0.12059998	1972264	11649	0.32571754	1972264	35199	0.7077197	1972264	66551	0.90806806	1972264	7289	0.25327542	1972264	15172	0.45328212	1972264	25473	0.58173347	1972264	5321	0.18860304	1972264	93997	0.9418693	1972264	15212	0.30052012	1972264	4910	0.16655377	1972264	81309	0.92756194	1972264	13630	0.3380303	1972264	98584	0.97142625	1972264	3908	0.13358201	1972264	55217	0.8737202	1972264	51675	0.8307326	1972264	1413	0.038506508	1972264	7010	0.16893022	1972264	3217	0.12771516	1972264	1919	0.049126282	1972264	8530	0.29207298	1972264	70814	0.9137296	1972264	10063	0.31190348	1972264	66482	0.8556116	1972264	1285	0.039919097	1972264	4867	0.12620166	1972264	18895	0.45794275	1972264	6994	0.09507703	1972264	17851	0.41885468	1972264	29662	0.70794123	1972264	355	0.0104022585	1972264	26281	0.4056967	1972264	31279	0.5876916	1972264	109564	0.96680665	1972264	17237	0.43146	1972264	2366	0.047178775	1972264	9223	0.2386856	1972264	13936	0.41715157	1972264	2761	0.08184401	1972264	11638	0.323153	1972264
nhnw_bin.102	9054	0.19361699	4258712	22917	0.4000571	4258712	3268	0.059222367	4258712	3944	0.06325199	4258712	705	0.015196378	4258712	711	0.014889948	4258712	24564	0.43705702	4258712	3544	0.08255477	4258712	33348	0.41190153	4258712	101	0.00102848	4258712	4105	0.08284453	4258712	2286	0.041801605	4258712	867	0.013925337	4258712	6747	0.13670377	4258712	4180	0.09529806	4258712	12455	0.2155532	4258712	8457	0.15681596	4258712	73438	0.79141676	4258712	101	0.0016357058	4258712	13	0.00027684428	4258712	31	0.0005236325	4258712	90	0.00077816955	4258712	976	0.021417977	4258712	41471	0.58207554	4258712	277	0.004689446	4258712	449	0.007778878	4258712	492	0.005622592	4258712	4285	0.09050906	4258712	633	0.0098104775	4258712	5118	0.09372012	4258712	56	0.0012304189	4258712	0	0	4258712	2041	0.030413186	4258712	176310	0.95608133	4258712	204737	0.9506609	4258712	713	0.011690155	4258712	100607	0.78847057	4258712	732	0.011642252	4258712	75957	0.8227377	4258712	726	0.0154326	4258712	305	0.005335416	4258712
nhnw_bin.103	8171	0.28258285	2168603	5122	0.02693854	2168603	3878	0.030561611	2168603	5812	0.038251355	2168603	4762	0.12367916	2168603	3561	0.04283541	2168603	2413	0.023696361	2168603	15342	0.49164048	2168603	15202	0.081135646	2168603	10556	0.19244325	2168603	46723	0.83845496	2168603	28585	0.38688964	2168603	75862	0.89272815	2168603	152600	0.9842945	2168603	2452	0.02099831	2168603	7305	0.063009225	2168603	29930	0.60830176	2168603	38058	0.79055274	2168603	4251	0.020500755	2168603	6764	0.19978575	2168603	2527	0.046888713	2168603	49665	0.872641	2168603	5452	0.042993117	2168603	3316	0.03819187	2168603	20751	0.34540254	2168603	488	0.013324707	2168603	1520	0.015697664	2168603	3213	0.022428725	2168603	29373	0.56877816	2168603	35174	0.64534634	2168603	48280	0.85117424	2168603	219	0.0029203133	2168603	113455	0.93161726	2168603	31706	0.6773614	2168603	63571	0.83060616	2168603	45454	0.7749832	2168603	22847	0.3499391	2168603	1639	0.012105489	2168603	8795	0.03562893	2168603	7583	0.21348675	2168603	5902	0.03606008	2168603
nhnw_bin.104	20147	0.49749544	2593463	6375	0.07136983	2593463	92025	0.90113413	2593463	215050	0.95711565	2593463	64187	0.8322301	2593463	65000	0.85275555	2593463	47908	0.7200041	2593463	15958	0.40100166	2593463	269673	0.9377905	2593463	291151	0.9363789	2593463	556859	0.9596111	2593463	738018	0.9595136	2593463	148059	0.9230323	2593463	102645	0.9136213	2593463	623968	0.9527898	2593463	215404	0.9630633	2593463	62473	0.82089317	2593463	46104	0.7378717	2593463	116814	0.88371956	2593463	28567	0.62684375	2593463	19333	0.41203403	2593463	171261	0.93798715	2593463	22594	0.38942373	2593463	196473	0.9408077	2593463	85037	0.7956524	2593463	2095	0.05224019	2593463	223371	0.95441	2593463	209964	0.9534406	2593463	285929	0.93334705	2593463	32772	0.60800326	2593463	33700	0.6077357	2593463	1274	0.030883417	2593463	66584	0.7433813	2593463	59459	0.73886424	2593463	4116042	0.9901105	2593463	71818	0.8450018	2593463	103242	0.8779231	2593463	24235	0.4568837	2593463	146853	0.95865256	2593463	274054	0.9494244	2593463	21522	0.4402816	2593463
nhnw_bin.105	1412	0.029464206	1781280	2283	0.049924772	1781280	5848	0.23175469	1781280	52608	0.9182189	1781280	666	0.02890955	1781280	1694	0.07718607	1781280	6940	0.27186966	1781280	234	0.008471436	1781280	5118	0.115968294	1781280	16129	0.36913624	1781280	907	0.016508915	1781280	27566	0.6937236	1781280	3233	0.117216274	1781280	2648	0.089011274	1781280	966	0.04077349	1781280	24642	0.7148416	1781280	16491	0.50810766	1781280	15570	0.5400364	1781280	2294	0.06924347	1781280	2555	0.13263832	1781280	435	0.014769155	1781280	3145	0.11767605	1781280	11002	0.32747632	1781280	2317	0.10018526	1781280	5333	0.12876022	1781280	170	0.006550907	1781280	3728	0.15235281	1781280	2100	0.07351118	1781280	626	0.014633297	1781280	5690	0.19671023	1781280	1316	0.04169586	1781280	86	0.0024364502	1781280	12846	0.35216922	1781280	19893	0.37813708	1781280	180434	0.9971683	1781280	974	0.026239557	1781280	35784	0.80165726	1781280	1181	0.033262037	1781280	1772	0.07347806	1781280	4518	0.2200412	1781280	1177	0.04781337	1781280
nhnw_bin.106	15982	0.5869759	1769531	8701	0.38582426	1769531	29882	0.7197602	1769531	80	0.0037134134	1769531	9	0.00041366892	1769531	57	0.0026408127	1769531	132	0.0061174403	1769531	5131	0.26145968	1769531	41	0.0009940487	1769531	13868	0.36886385	1769531	2310	0.11031906	1769531	3483	0.11755488	1769531	185	0.005092875	1769531	4307	0.20660447	1769531	11998	0.4826228	1769531	585	0.026756808	1769531	13859	0.24335544	1769531	375	0.018361362	1769531	11769	0.26600778	1769531	73	0.0040920447	1769531	3629	0.1521245	1769531	80	0.0039287247	1769531	15409	0.5469608	1769531	846	0.04149235	1769531	9915	0.35252222	1769531	3981	0.17876261	1769531	5539	0.23166929	1769531	3682	0.17476213	1769531	6248	0.1653862	1769531	73	0.0027329274	1769531	43	0.0017371834	1769531	1182	0.049506903	1769531	8023	0.2497125	1769531	36957	0.7832488	1769531	28155	0.66603017	1769531	6416	0.2527794	1769531	6006	0.21966046	1769531	98	0.0045226673	1769531	2842	0.14971481	1769531	3998	0.20206597	1769531	1265	0.06601354	1769531
nhnw_bin.107	77	0.0023695598	2297051	229	0.003375197	2297051	209	0.0040826257	2297051	41874	0.7551996	2297051	152	0.0053738467	2297051	141	0.0037861587	2297051	240	0.004325111	2297051	107	0.0030930964	2297051	397	0.005785679	2297051	177	0.0031914834	2297051	103	0.0022180614	2297051	598	0.0070991023	2297051	407574	0.99761957	2297051	382	0.0076846355	2297051	133	0.0032284872	2297051	64876	0.9186222	2297051	4358	0.1486284	2297051	78	0.0026155275	2297051	9465	0.23961157	2297051	25	0.000933806	2297051	10675	0.2973469	2297051	110	0.0027269747	2297051	297	0.004890183	2297051	21730	0.5723608	2297051	39745	0.712194	2297051	1343	0.04259592	2297051	1357	0.05017085	2297051	150	0.0039807563	2297051	584	0.019580757	2297051	119411	0.98265386	2297051	203	0.0052545634	2297051	6	0.00028123014	2297051	629	0.00935025	2297051	890	0.007990681	2297051	1306	0.010741599	2297051	242	0.005324218	2297051	220	0.004483575	2297051	102	0.0025724287	2297051	165	0.0045001176	2297051	109	0.0037892063	2297051	94	0.002837116	2297051
nhnw_bin.108	4081	0.1481407	1646455	50007	0.9228184	1646455	6346	0.055422105	1646455	23961	0.6256764	1646455	999	0.018930975	1646455	4257	0.13712187	1646455	9594	0.26108032	1646455	2633	0.11189981	1646455	27273	0.5317394	1646455	4307	0.056734014	1646455	3494	0.017770907	1646455	14479	0.0991008	1646455	9036	0.23866063	1646455	10582	0.28338704	1646455	2545	0.05421284	1646455	26700	0.704872	1646455	10573	0.1435794	1646455	14112	0.45067373	1646455	3544	0.055903137	1646455	1094	0.009921316	1646455	1134	0.020865435	1646455	2267	0.03773076	1646455	22553	0.61747754	1646455	3518	0.02283087	1646455	15526	0.3301402	1646455	514	0.014896854	1646455	2436	0.040125605	1646455	8033	0.20735155	1646455	6742	0.022165805	1646455	12582	0.3881928	1646455	4247	0.15398356	1646455	158	0.002701562	1646455	35976	0.6570243	1646455	51261	0.86124915	1646455	75752	0.90308267	1646455	5394	0.0926032	1646455	8185	0.013261826	1646455	4050	0.0813639	1646455	2115	0.013744075	1646455	2323	0.06519036	1646455	5307	0.15005268	1646455
nhnw_bin.109	28593	0.7586689	1975684	209840	0.99806243	1975684	76140	0.9538312	1975684	13724	0.4503443	1975684	21066	0.636615	1975684	31986	0.7955503	1975684	246958	0.9982973	1975684	392	0.02255472	1975684	29028	0.64250207	1975684	1671	0.047616925	1975684	4494	0.19615941	1975684	55803	0.9030842	1975684	908	0.036178358	1975684	2818	0.13272922	1975684	30439	0.7974671	1975684	10629	0.3994728	1975684	428735	0.99143535	1975684	83776	0.97789526	1975684	20446	0.5242119	1975684	7210	0.31187782	1975684	8025	0.2743976	1975684	41125	0.881395	1975684	19220	0.5914357	1975684	8440	0.33277994	1975684	88517	0.96069515	1975684	814	0.030119695	1975684	1719	0.07766981	1975684	30986	0.7672011	1975684	13327	0.419394	1975684	3793	0.1503778	1975684	695	0.035478346	1975684	1782	0.0603553	1975684	33254	0.6505418	1975684	9586	0.3392845	1975684	8875	0.30168793	1975684	635	0.027172362	1975684	24622	0.6288025	1975684	5384	0.18887079	1975684	2356	0.11323673	1975684	124	0.0051642875	1975684	480	0.023475414	1975684
