genome	domain	phylum	class	order	family	genus	species	completeness	contamination	mag_size
EHA05415_bin.276	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__	g__	s__	90.38	0.16	1557901
EHA05415_bin.382	d__Bacteria	p__Bacillota_A	c__Clostridia	o__	f__	g__	s__	58.55	0.5	1448885
EHA05415_bin.439	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__	82.63	8.76	2346839
EHA05415_bin.261	d__Bacteria	p__Desulfobacterota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__	s__	92.59	0.6	1581941
EHA05415_bin.257	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__	80.2	2.11	1955706
EHA05415_bin.437	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__	92.49	4.07	1667066
EHA05415_bin.229	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Vescimonas	s__	90.99	0.31	6239810
EHA05415_bin.389	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__HGM13006	s__	51.83	0.37	1377119
EHA05415_bin.463	d__Bacteria	p__Desulfobacterota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Desulfovibrio	s__	93.5	2.87	1990755
EHA05415_bin.73	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Monoglobales	f__Firm-18	g__	s__	79.02	1.08	2132048
EHA05415_bin.76	d__Bacteria	p__Desulfobacterota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Desulfovibrio	s__	76.79	1.42	2582967
EHA05415_bin.326	d__Bacteria	p__Bacillota_A	c__Clostridia	o__TANB77	f__CAG-508	g__UMGS1754	s__	84.4	5.28	1483481
EHA05415_bin.287	d__Bacteria	p__Cyanobacteriota	c__Vampirovibrionia	o__Gastranaerophilales	f__Gastranaerophilaceae	g__UBA6984	s__	94.16	0.29	1928700
EHA05415_bin.87	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__UBA6857	s__	93.71	0.37	1513592
EHA05415_bin.436	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__RGIG7114	s__	96.79	0.05	1061269
EHA05415_bin.53	d__Bacteria	p__Bacillota_A	c__Clostridia	o__RUG12999	f__RUG12999	g__	s__	56.87	2.66	1118441
EHA05415_bin.105	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__Cryptobacteroides	s__	74.59	0.55	1432593
EHA05415_bin.397	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__	s__	62.8	2.71	1522339
EHA05415_bin.331	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__JAKSVV01	g__JAKSVV01	s__	64.15	0.45	1046817
EHA05415_bin.394	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__	g__	s__	75.59	3.41	1656033
EHA05415_bin.231	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__SIG598	s__	76.74	0	1582342
EHA05415_bin.22	d__Bacteria	p__Planctomycetota	c__Planctomycetia	o__Pirellulales	f__Thermoguttaceae	g__RUG369	s__	98.57	0.05	1628725
EHA05415_bin.259	d__Bacteria	p__Bacillota_B	c__Syntrophomonadia	o__Syntrophomonadales	f__CALXSZ01	g__CALXSZ01	s__	95.88	8.56	2532678
EHA05415_bin.305	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__UBA1709	g__JAAZGG01	s__	89.13	1.21	2852787
EHA05415_bin.122	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__Borkfalkiaceae	g__	s__	96.26	0	1196297
EHA05415_bin.92	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-74	g__	s__	66.41	0.07	1262229
EHA05415_bin.75	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__RGIG5612	s__	51.06	1.37	1333619
EHA05415_bin.61	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__CAG-272	g__UMGS1865	s__	89.08	0.99	3373585
EHA05415_bin.11	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__	s__	98.46	0.39	2462158
EHA05415_bin.134	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Treponematales	f__Treponemataceae	g__Treponema_D	s__	94.21	3.27	2321275
EHA05415_bin.243	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Sodaliphilus	s__	98.83	0.48	2255827
EHA05415_bin.408	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__RGIG2206	s__	70.54	1.14	1089782
EHA05415_bin.1	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Helicobacteraceae	g__Helicobacter_D	s__	99.82	0	1814002
EHA05415_bin.84	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__SIG495	s__	95.11	0.11	1447520
EHA05415_bin.359	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__Cryptobacteroides	s__	89.54	0.11	3676737
EHA05415_bin.245	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Anaerovoracaceae	g__RUG13409	s__	88.78	0.01	2402195
EHA05415_bin.29	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__WCHB1-69	g__UBA1756	s__	97.08	2.37	1830406
EHA05415_bin.137	d__Bacteria	p__Verrucomicrobiota	c__Kiritimatiellia	o__RFP12	f__UBA1067	g__RUG572	s__	89.71	1.15	1895110
EHA05415_bin.251	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Onthomonas	s__	78.2	1.67	1867419
EHA05415_bin.309	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__UBA6448	s__	87.69	0.93	2543485
EHA05415_bin.234	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Saccharofermentanales	f__Saccharofermentanaceae	g__Saccharofermentans	s__	79.44	1.71	2028072
EHA05415_bin.392	d__Bacteria	p__Cyanobacteriota	c__Vampirovibrionia	o__Gastranaerophilales	f__Gastranaerophilaceae	g__CAG-196	s__	63.7	5.45	1090205
EHA05415_bin.176	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__Cryptobacteroides	s__	80.92	2.27	1952110
EHA05415_bin.341	d__Bacteria	p__Bacillota_A	c__Clostridia	o__DUPQ01	f__	g__	s__	100	0.15	1191577
EHA05415_bin.318	d__Bacteria	p__Bacillota	c__Bacilli	o__Acholeplasmatales	f__Anaeroplasmataceae	g__Anaeroplasma	s__	99.54	0.05	1908932
EHA05415_bin.115	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Sphaerochaetales	f__Sphaerochaetaceae	g__	s__	96.13	0.48	1939004
EHA05415_bin.28	d__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobrevibacter_A	s__	62.55	0.17	1698744
EHA05415_bin.45	d__Bacteria	p__Eremiobacterota	c__Xenobia	o__Xenobiales	f__Xenobiaceae	g__JAFSXO01	s__	97.03	0.62	1834428
