ID,mag_name,completeness,contamination,assembly_type,link_to_assembly,GTDB_version,domain,phylum,class,order,family,genus,species,host_species,closest_placement_ani,size,GC,N50,contigs,number_genes,cazy_hits,pfam_hits,kegg_hits,number_unannotated_genes,percent_unannotated_genes,DM_batch,closest_placement_af,fastani_ani,MAG_url,AB_batch,taxonomy_level,DM_batch 2,sample_type,anno_url,gbk_url,kegg_url,dereplicated_old,annotated,dereplicated,coding_density,host_order,host_class,percent_unannotated_kegg
EHM079240,EHA05415_bin.1.fa,99.82,0.00,Coassembly,EHA05415,2.3.0,d__Bacteria,p__Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Helicobacteraceae,g__Helicobacter_D,s__,Vombatus ursinus,76.84,1814002,48.00%,53424,46,1638,31,1638,875,0,,DMB0179,0.12,0.00,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0616/EHA05415_bin.1.fa.gz,ABB0616,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079240_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079240.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079240_kegg.tsv.gz,false,true,DMB0179,0.83,Diprotodontia,Mammalia,46.6
EHM079241,EHA05415_bin.10.fa,85.81,0.04,Coassembly,EHA05415,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA932,g__,s__,Vombatus ursinus,0.00,1979322,52.00%,68713,90,1561,72,1561,829,0,,DMB0179,0.00,0.00,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0616/EHA05415_bin.10.fa.gz,ABB0616,Family,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079241_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079241.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079241_kegg.tsv.gz,false,true,DMB0179,0.91,Diprotodontia,Mammalia,46.9
EHM079242,EHA05415_bin.100.fa,80.14,3.37,Coassembly,EHA05415,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Faecousia,s__,Vombatus ursinus,81.50,1568726,52.00%,33758,75,1475,48,1475,769,0,,DMB0179,0.53,0.00,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0616/EHA05415_bin.100.fa.gz,ABB0616,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079242_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079242.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079242_kegg.tsv.gz,false,true,DMB0179,0.89,Diprotodontia,Mammalia,47.9
EHM079243,EHA05415_bin.101.fa,94.89,0.00,Coassembly,EHA05415,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__UBA1750,g__,s__,Vombatus ursinus,0.00,2103009,61.00%,18143,168,2040,62,2040,968,0,,DMB0179,0.00,0.00,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0616/EHA05415_bin.101.fa.gz,ABB0616,Family,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079243_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079243.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079243_kegg.tsv.gz,false,true,DMB0179,0.88,Diprotodontia,Mammalia,52.5
EHM079244,EHA05415_bin.102.fa,84.98,1.92,Coassembly,EHA05415,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__,s__,Vombatus ursinus,0.00,1910355,57.00%,18913,144,1675,38,1675,826,0,,DMB0179,0.00,0.00,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0616/EHA05415_bin.102.fa.gz,ABB0616,Family,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079244_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079244.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079244_kegg.tsv.gz,false,true,DMB0179,0.80,Diprotodontia,Mammalia,50.7
EHM079245,EHA05415_bin.103.fa,90.76,5.80,Coassembly,EHA05415,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA932,g__Cryptobacteroides,s__,Vombatus ursinus,76.65,1829347,36.00%,52705,90,1630,83,1630,751,0,,DMB0179,0.06,0.00,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0616/EHA05415_bin.103.fa.gz,ABB0616,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079245_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079245.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079245_kegg.tsv.gz,false,true,DMB0179,0.92,Diprotodontia,Mammalia,53.9
EHM079246,EHA05415_bin.104.fa,82.21,2.58,Coassembly,EHA05415,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA932,g__Cryptobacteroides,s__,Vombatus ursinus,76.53,1576293,35.00%,13345,171,1359,65,1359,645,0,,DMB0179,0.06,0.00,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0616/EHA05415_bin.104.fa.gz,ABB0616,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079246_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079246.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079246_kegg.tsv.gz,false,true,DMB0179,0.92,Diprotodontia,Mammalia,52.5
EHM079247,EHA05415_bin.105.fa,74.59,0.55,Coassembly,EHA05415,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA932,g__Cryptobacteroides,s__,Vombatus ursinus,76.59,1432593,35.00%,44493,53,1189,65,1189,606,0,,DMB0179,0.05,0.00,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0616/EHA05415_bin.105.fa.gz,ABB0616,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079247_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079247.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079247_kegg.tsv.gz,false,true,DMB0179,0.92,Diprotodontia,Mammalia,49.0
EHM079248,EHA05415_bin.106.fa,83.36,2.07,Coassembly,EHA05415,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__TANB77,f__RGIG9151,g__RGIG9151,s__,Vombatus ursinus,78.36,1409364,32.00%,11039,150,1326,43,1326,640,0,,DMB0179,0.34,0.00,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0616/EHA05415_bin.106.fa.gz,ABB0616,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079248_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079248.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079248_kegg.tsv.gz,false,true,DMB0179,0.88,Diprotodontia,Mammalia,51.7
EHM079249,EHA05415_bin.107.fa,82.99,1.10,Coassembly,EHA05415,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__,s__,Vombatus ursinus,0.00,2300517,36.00%,13482,215,2218,78,2218,1101,0,,DMB0179,0.00,0.00,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0616/EHA05415_bin.107.fa.gz,ABB0616,Family,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079249_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079249.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079249_kegg.tsv.gz,false,true,DMB0179,0.89,Diprotodontia,Mammalia,50.4
