user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
EHA05391_bin.1.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__	N/A	N/A	N/A	N/A	N/A	GCA_022766385.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides sp018384035	77.91	0.217	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_024398125.1, s__Cryptobacteroides sp024398125, 95.0, 77.74, 0.105; GCA_900767405.1, s__Cryptobacteroides sp900767405, 95.0, 77.7, 0.088; GCA_900767375.1, s__Cryptobacteroides sp900767375, 95.0, 77.68, 0.182; GCA_024401795.1, s__Cryptobacteroides sp024401795, 95.0, 77.58, 0.034; GCA_024402135.1, s__Cryptobacteroides sp024402135, 95.0, 77.52, 0.116; GCA_024398295.1, s__Cryptobacteroides sp024398295, 95.0, 77.45, 0.137; GCA_002297815.1, s__Cryptobacteroides sp002297815, 95.0, 77.45, 0.062; GCA_002438845.1, s__Cryptobacteroides sp002438845, 95.0, 77.43, 0.073; GCA_024401695.1, s__Cryptobacteroides sp024401695, 95.0, 77.41, 0.088; GCA_934695325.1, s__Cryptobacteroides sp934695325, 95.0, 77.38, 0.074; GCA_018064625.1, s__Cryptobacteroides sp018064625, 95.0, 77.38, 0.116; GCA_017548805.1, s__Cryptobacteroides sp017548805, 95.0, 77.36, 0.133; GCA_024401925.1, s__Cryptobacteroides sp024401925, 95.0, 77.36, 0.08; GCA_024689985.1, s__Cryptobacteroides sp024689985, 95.0, 77.28, 0.126; GCA_017620335.1, s__Cryptobacteroides sp017620335, 95.0, 77.25, 0.172; GCA_934725575.1, s__Cryptobacteroides sp934725575, 95.0, 77.25, 0.09; GCA_024398075.1, s__Cryptobacteroides sp024398075, 95.0, 77.24, 0.12; GCA_017619675.1, s__Cryptobacteroides sp017619675, 95.0, 77.24, 0.085; GCA_004552615.1, s__Cryptobacteroides sp004552615, 95.0, 77.23, 0.068; GCA_902787295.1, s__Cryptobacteroides sp902787295, 95.0, 77.17, 0.105; GCA_018066125.1, s__Cryptobacteroides sp018066125, 95.0, 77.16, 0.148; GCA_900319185.1, s__Cryptobacteroides sp900319185, 95.0, 77.13, 0.156; GCA_018065985.1, s__Cryptobacteroides sp018065985, 95.0, 77.1, 0.092; GCA_900319685.1, s__Cryptobacteroides sp900319685, 95.0, 77.07, 0.073; GCA_900771005.1, s__Cryptobacteroides sp900771005, 95.0, 77.05, 0.08; GCA_024398315.1, s__Cryptobacteroides sp024398315, 95.0, 77.04, 0.062; GCA_024402125.1, s__Cryptobacteroides sp024402125, 95.0, 77.04, 0.05; GCA_017455065.1, s__Cryptobacteroides sp017455065, 95.0, 77.03, 0.119; GCA_902761655.1, s__Cryptobacteroides sp902761655, 95.0, 77.0, 0.07; GCA_934667175.1, s__Cryptobacteroides sp934667175, 95.0, 76.99, 0.081; GCA_016295245.1, s__Cryptobacteroides sp016295245, 95.0, 76.97, 0.143; GCA_000433355.1, s__Cryptobacteroides sp000433355, 95.0, 76.96, 0.085; GCA_024402095.1, s__Cryptobacteroides sp024402095, 95.0, 76.96, 0.093; GCA_945487035.1, s__Cryptobacteroides sp945487035, 95.0, 76.95, 0.093; GCA_902795785.1, s__Cryptobacteroides sp902795785, 95.0, 76.93, 0.085; GCA_902785785.1, s__Cryptobacteroides sp900321245, 95.0, 76.91, 0.173; GCA_900319375.1, s__Cryptobacteroides sp900319375, 95.0, 76.89, 0.074; GCA_017519865.1, s__Cryptobacteroides sp017519865, 95.0, 76.87, 0.145; GCA_001602865.1, s__Cryptobacteroides sp001602865, 95.0, 76.86, 0.107; GCA_024401865.1, s__Cryptobacteroides sp024401865, 95.0, 76.83, 0.083; GCA_902799895.1, s__Cryptobacteroides sp902799895, 95.0, 76.8, 0.061; GCA_900769145.1, s__Cryptobacteroides sp900769145, 95.0, 76.79, 0.076; GCA_002315815.1, s__Cryptobacteroides sp002315815, 95.0, 76.78, 0.056; GCA_002439875.1, s__Cryptobacteroides sp002439875, 95.0, 76.76, 0.073; GCA_000431015.1, s__Cryptobacteroides sp000431015, 95.0, 76.74, 0.094; GCA_024401855.1, s__Cryptobacteroides sp024401855, 95.0, 76.74, 0.065; GCA_905235085.1, s__Cryptobacteroides sp905235085, 95.0, 76.74, 0.094; GCA_017469425.1, s__Cryptobacteroides sp017469425, 95.0, 76.72, 0.057; GCA_905234775.1, s__Cryptobacteroides sp905234775, 95.0, 76.7, 0.072; GCA_017458145.1, s__Cryptobacteroides sp017458145, 95.0, 76.69, 0.085; GCA_900760425.1, s__Cryptobacteroides sp900760425, 95.0, 76.67, 0.056; GCA_002314195.1, s__Cryptobacteroides sp002314195, 95.0, 76.66, 0.062; GCA_002350615.1, s__Cryptobacteroides sp002350615, 95.0, 76.65, 0.055; GCA_002315825.1, s__Cryptobacteroides sp002315825, 95.0, 76.65, 0.071; GCA_024398155.1, s__Cryptobacteroides sp024398155, 95.0, 76.62, 0.054; GCA_905235675.1, s__Cryptobacteroides sp905235675, 95.0, 76.6, 0.077; GCA_902762655.1, s__Cryptobacteroides sp902762655, 95.0, 76.58, 0.062; GCA_024401745.1, s__Cryptobacteroides sp024401745, 95.0, 76.55, 0.095; GCA_002437305.1, s__Cryptobacteroides sp002437305, 95.0, 76.54, 0.067; GCA_024401945.1, s__Cryptobacteroides sp024401945, 95.0, 76.54, 0.096; GCA_017400135.1, s__Cryptobacteroides sp017400135, 95.0, 76.53, 0.083; GCA_017960545.1, s__Cryptobacteroides sp017960545, 95.0, 76.53, 0.081; GCA_017477245.1, s__Cryptobacteroides sp017477245, 95.0, 76.52, 0.101; GCA_900544195.1, s__Cryptobacteroides sp900544195, 95.0, 76.52, 0.084; GCA_024398335.1, s__Cryptobacteroides sp024398335, 95.0, 76.51, 0.054; GCA_024401805.1, s__Cryptobacteroides sp024401805, 95.0, 76.5, 0.081; GCA_024692185.1, s__Cryptobacteroides sp024692185, 95.0, 76.5, 0.074; GCA_902790635.1, s__Cryptobacteroides sp902790635, 95.0, 76.49, 0.075; GCA_002321335.1, s__Cryptobacteroides sp002321335, 95.0, 76.49, 0.071; GCA_017552475.1, s__Cryptobacteroides sp017552475, 95.0, 76.48, 0.073; GCA_022648685.1, s__Cryptobacteroides sp022648685, 95.0, 76.48, 0.031; GCA_017471045.1, s__Cryptobacteroides sp017471045, 95.0, 76.46, 0.088; GCA_017454905.1, s__Cryptobacteroides sp017454905, 95.0, 76.46, 0.098; GCA_017450585.1, s__Cryptobacteroides sp017450585, 95.0, 76.45, 0.06; GCA_902766985.1, s__Cryptobacteroides sp902766985, 95.0, 76.45, 0.05; GCA_017962585.1, s__Cryptobacteroides sp017962585, 95.0, 76.41, 0.06; GCA_900317065.1, s__Cryptobacteroides sp900317065, 95.0, 76.41, 0.074; GCA_017617035.1, s__Cryptobacteroides sp017617035, 95.0, 76.38, 0.06; GCA_024401825.1, s__Cryptobacteroides sp024401825, 95.0, 76.34, 0.089; GCA_934725285.1, s__Cryptobacteroides sp934725285, 95.0, 76.33, 0.037; GCA_024402025.1, s__Cryptobacteroides sp024402025, 95.0, 76.33, 0.083; GCA_024401915.1, s__Cryptobacteroides sp024401915, 95.0, 76.33, 0.079; GCA_024401995.1, s__Cryptobacteroides sp024401995, 95.0, 76.29, 0.055; GCA_017437825.1, s__Cryptobacteroides sp017437825, 95.0, 76.28, 0.075; GCA_902774145.1, s__Cryptobacteroides sp902774145, 95.0, 76.28, 0.067; GCA_900317925.1, s__Cryptobacteroides sp900317925, 95.0, 76.23, 0.066; GCA_017427885.1, s__Cryptobacteroides sp017427885, 95.0, 76.22, 0.063; GCA_016281435.1, s__Cryptobacteroides sp016281435, 95.0, 76.18, 0.056; GCA_017445015.1, s__Cryptobacteroides sp017445015, 95.0, 76.09, 0.042; GCA_016282145.1, s__Cryptobacteroides sp016282145, 95.0, 76.07, 0.053; GCA_012522855.1, s__Cryptobacteroides sp012522855, 95.0, 76.06, 0.032; GCA_017438265.1, s__Cryptobacteroides sp017438265, 95.0, 76.04, 0.108; GCA_024401975.1, s__Cryptobacteroides sp024401975, 95.0, 76.03, 0.082; GCA_902801205.1, s__Cryptobacteroides sp902801205, 95.0, 75.97, 0.067; GCA_017561865.1, s__Cryptobacteroides sp017561865, 95.0, 75.96, 0.079; GCA_017453565.1, s__Cryptobacteroides sp017453565, 95.0, 75.85, 0.056; GCA_017454335.1, s__Cryptobacteroides sp017454335, 95.0, 75.84, 0.059; GCA_900320385.1, s__Cryptobacteroides sp900320385, 95.0, 75.68, 0.043; GCA_017615135.1, s__Cryptobacteroides sp017615135, 95.0, 75.5, 0.031	85.52	11	0.97106	N/A
EHA05391_bin.10.fa	d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__UBA1407;f__UBA1407;g__RGIG3456;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__UBA1407;f__UBA1407;g__RGIG3456;s__	ANI	classification based on placement in class-level tree	GCA_017458805.1, s__RGIG3456 sp017458805, 95.0, 76.55, 0.014; GCA_017543165.1, s__RGIG3456 sp017543165, 95.0, 76.27, 0.025; GCA_017535315.1, s__RGIG3456 sp017535315, 95.0, 76.06, 0.031; GCA_017615955.1, s__RGIG3456 sp017615955, 95.0, 76.04, 0.019; GCA_017450525.1, s__RGIG3456 sp017450525, 95.0, 75.74, 0.029	76.35	11	0.90597	N/A
EHA05391_bin.100.fa	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__RGIG1711;s__	N/A	N/A	N/A	N/A	N/A	GCA_017416145.1	95.0	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__RGIG1711;s__RGIG1711 sp017416145	78.98	0.261	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__RGIG1711;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_018066285.1, s__RGIG1711 sp018066285, 95.0, 77.17, 0.049; GCA_024402435.1, s__RGIG1711 sp024402435, 95.0, 77.1, 0.053; GCA_024413635.1, s__RGIG1711 sp024413635, 95.0, 77.04, 0.044; GCA_024680915.1, s__RGIG1711 sp024680915, 95.0, 76.73, 0.037; GCA_017618015.1, s__RGIG1711 sp017618015, 95.0, 76.61, 0.044; GCA_024685655.1, s__RGIG1711 sp024685655, 95.0, 76.01, 0.051	89.24	11	0.92824	N/A
EHA05391_bin.101.fa	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_013372145.1, s__Campylobacter hyointestinalis, 95.0, 84.47, 0.84; GCF_013372165.1, s__Campylobacter lawsonii, 95.0, 84.13, 0.844; GCA_000495505.1, s__Campylobacter testudinum, 95.0, 80.24, 0.687; GCF_900475935.1, s__Campylobacter fetus, 95.0, 79.65, 0.593; GCF_000736415.1, s__Campylobacter iguaniorum, 95.0, 79.22, 0.593; GCF_002139935.1, s__Campylobacter lanienae, 95.0, 78.25, 0.342; GCF_002139915.1, s__Campylobacter sp002139915, 95.0, 78.16, 0.313; GCF_002139855.1, s__Campylobacter sp002139855, 95.0, 77.93, 0.366; GCA_017646085.1, s__Campylobacter sp017646085, 95.0, 77.72, 0.255; GCA_017506845.1, s__Campylobacter sp017506845, 95.0, 77.58, 0.267; GCA_002317305.1, s__Campylobacter sp002317305, 95.0, 77.51, 0.029; GCF_002139875.1, s__Campylobacter sp002139875, 95.0, 77.47, 0.321; GCA_900753405.1, s__Campylobacter sp900753405, 95.0, 76.87, 0.016; GCA_017940085.1, s__Campylobacter sp017940085, 95.0, 76.78, 0.173; GCA_900319915.1, s__Campylobacter sp900319915, 95.0, 76.65, 0.041; GCA_009827235.1, s__Campylobacter infans, 95.0, 76.03, 0.144; GCA_945873855.1, s__Campylobacter sp945873855, 95.0, 75.85, 0.111	73.58	11	0.97265	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
EHA05391_bin.102.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__RGIG10190;s__	N/A	N/A	N/A	N/A	N/A	GCA_024401475.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__RGIG10190;s__RGIG10190 sp024401475	80.1	0.484	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__RGIG10190;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_017961765.1, s__RGIG10190 sp017961765, 95.0, 79.77, 0.475; GCA_017553575.1, s__RGIG10190 sp017553575, 95.0, 79.69, 0.463; GCA_024401455.1, s__RGIG10190 sp024401455, 95.0, 79.56, 0.458; GCA_023227695.1, s__RGIG10190 sp023227695, 95.0, 77.61, 0.124; GCA_020636675.1, s__RGIG10190 sp020636675, 95.0, 77.52, 0.134	88.02	11	0.98665	N/A
EHA05391_bin.103.fa	d__Bacteria;p__Bdellovibrionota;c__UBA2361;o__UBA2361;f__CAKMMH01;g__CAKMMH01;s__CAKMMH01 sp927798255	GCA_927798255.1	95.0	d__Bacteria;p__Bdellovibrionota;c__UBA2361;o__UBA2361;f__CAKMMH01;g__CAKMMH01;s__CAKMMH01 sp927798255	98.0	0.762	GCA_927798255.1	95.0	d__Bacteria;p__Bdellovibrionota;c__UBA2361;o__UBA2361;f__CAKMMH01;g__CAKMMH01;s__CAKMMH01 sp927798255	98.0	0.762	d__Bacteria;p__Bdellovibrionota;c__UBA2361;o__UBA2361;f__;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	77.86	11	N/A	N/A
EHA05391_bin.104.fa	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__UBA12059;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__UBA12059;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	86.95	11	0.90125	N/A
EHA05391_bin.105.fa	d__Bacteria;p__Bacillota;c__Bacilli;o__RFN20;f__CAG-826;g__UBA3207;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Bacilli;o__RFN20;f__CAG-826;g__UBA3207;s__	ANI	classification based on placement in class-level tree	GCA_902768335.1, s__UBA3207 sp902768335, 95.0, 77.64, 0.088; GCA_002393905.1, s__UBA3207 sp002393905, 95.0, 77.6, 0.075; GCA_024408085.1, s__UBA3207 sp024408085, 95.0, 77.45, 0.096; GCA_902787955.1, s__UBA3207 sp902787955, 95.0, 77.44, 0.088; GCA_900314585.1, s__UBA3207 sp900314585, 95.0, 77.32, 0.122; GCA_024413875.1, s__UBA3207 sp024413875, 95.0, 77.07, 0.063; GCA_022777645.1, s__UBA3207 sp022777645, 95.0, 76.93, 0.141; GCA_003501485.1, s__UBA3207 sp003501485, 95.0, 76.87, 0.104; GCA_002363735.1, s__UBA3207 sp002363735, 95.0, 76.81, 0.125; GCA_902796125.1, s__UBA3207 sp902796125, 95.0, 76.81, 0.12; GCA_017447725.1, s__UBA3207 sp017447725, 95.0, 76.78, 0.135; GCA_024695235.1, s__UBA3207 sp024695235, 95.0, 76.78, 0.108; GCA_002494205.1, s__UBA3207 sp002494205, 95.0, 76.73, 0.096; GCA_902797855.1, s__UBA3207 sp902797855, 95.0, 76.67, 0.126; GCA_902774655.1, s__UBA3207 sp902774655, 95.0, 76.53, 0.078; GCA_002395065.1, s__UBA3207 sp002395065, 95.0, 76.39, 0.094; GCA_017534425.1, s__UBA3207 sp017534425, 95.0, 76.24, 0.078; GCA_024408105.1, s__UBA3207 sp024408105, 95.0, 76.11, 0.113; GCA_018064745.1, s__UBA3207 sp018064745, 95.0, 75.96, 0.069	88.76	11	0.9039	N/A
EHA05391_bin.107.fa	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oliverpabstia;s__	N/A	N/A	N/A	N/A	N/A	GCA_009929525.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oliverpabstia;s__Oliverpabstia sp009929525	78.54	0.177	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oliverpabstia;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_004123145.1, s__Oliverpabstia faecicola, 95.0, 78.55, 0.175; GCF_009696065.1, s__Oliverpabstia intestinalis, 95.0, 78.43, 0.184; GCA_018374355.1, s__Oliverpabstia sp018374355, 95.0, 78.29, 0.158; GCA_022764165.1, s__Oliverpabstia sp022764165, 95.0, 78.29, 0.195; GCA_000432335.1, s__Oliverpabstia sp000432335, 95.0, 78.28, 0.181; GCA_004562915.1, s__Oliverpabstia sp004562915, 95.0, 78.26, 0.184; GCA_934359255.1, s__Oliverpabstia sp934359255, 95.0, 78.21, 0.161; GCA_002361775.1, s__Oliverpabstia sp002361775, 95.0, 78.12, 0.196; GCA_004556655.1, s__Oliverpabstia sp004556655, 95.0, 78.07, 0.204	77.24	11	0.94552	N/A
EHA05391_bin.108.fa	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	91.64	11	0.86513	N/A
