genome,score,completeness,contamination,strain_heterogeneity,size,N50,cluster,taxonomy,tax_confidence,cluster_members,closest_cluster_member,furthest_cluster_member,completeness_metric,contamination_metric
EHA05391_bin.138.fa.gz,51.97413004688735,NA,NA,NA,NA,NA,1_1,NA,NA,1,NA,NA,NA,NA
nhnw_bin.16.fa.gz,93.11996120206476,NA,NA,NA,NA,NA,1_2,NA,NA,1,NA,NA,NA,NA
EHA05415_bin.272.fa.gz,86.35927949492925,NA,NA,NA,NA,NA,1_3,NA,NA,1,NA,NA,NA,NA
EHA05415_bin.214.fa.gz,85.06441174653665,NA,NA,NA,NA,NA,2_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.591.fa.gz,53.96793676410391,NA,NA,NA,NA,NA,3_0,NA,NA,1,NA,NA,NA,NA
EHA05415_bin.301.fa.gz,98.22349607869768,NA,NA,NA,NA,NA,4_0,NA,NA,1,NA,NA,NA,NA
EHA05415_bin.346.fa.gz,83.4298686537732,NA,NA,NA,NA,NA,5_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.512.fa.gz,92.65226735970295,NA,NA,NA,NA,NA,6_0,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.397.fa.gz,95.28451239415884,NA,NA,NA,NA,NA,7_1,NA,NA,1,NA,NA,NA,NA
nhnw_bin.590.fa.gz,97.77650027264671,NA,NA,NA,NA,NA,7_2,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.29.fa.gz,74.36064009819708,NA,NA,NA,NA,NA,8_1,NA,NA,1,NA,NA,NA,NA
nhnw_bin.186.fa.gz,63.51410071861374,NA,NA,NA,NA,NA,8_2,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.316.fa.gz,83.56907200604097,NA,NA,NA,NA,NA,9_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.376.fa.gz,97.46372706692678,NA,NA,NA,NA,NA,10_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.140.fa.gz,79.60744893299552,NA,NA,NA,NA,NA,11_0,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.367.fa.gz,84.83879185214414,NA,NA,NA,NA,NA,12_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.542.fa.gz,90.12110436374012,NA,NA,NA,NA,NA,13_0,NA,NA,1,NA,NA,NA,NA
EHA05415_bin.216.fa.gz,68.11971931963369,NA,NA,NA,NA,NA,14_0,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.434.fa.gz,94.0466037902034,NA,NA,NA,NA,NA,15_0,NA,NA,1,NA,NA,NA,NA
EHA05415_bin.54.fa.gz,85.13159384612949,NA,NA,NA,NA,NA,16_0,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.160.fa.gz,37.02680491538485,NA,NA,NA,NA,NA,17_1,NA,NA,1,NA,NA,NA,NA
nhnw_bin.420.fa.gz,84.9481336856707,NA,NA,NA,NA,NA,17_2,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.331.fa.gz,98.65024146592562,NA,NA,NA,NA,NA,18_0,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.515.fa.gz,62.898026577579614,NA,NA,NA,NA,NA,19_0,NA,NA,1,NA,NA,NA,NA
EHA05415_bin.146.fa.gz,77.27222780691281,NA,NA,NA,NA,NA,20_0,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.50.fa.gz,89.43944771250334,NA,NA,NA,NA,NA,21_1,NA,NA,1,NA,NA,NA,NA
nhnw_bin.12.fa.gz,93.32789932848692,NA,NA,NA,NA,NA,21_2,NA,NA,1,NA,NA,NA,NA
nhnw_bin.239.fa.gz,65.47145667832143,NA,NA,NA,NA,NA,22_0,NA,NA,1,NA,NA,NA,NA
EHA05415_bin.426.fa.gz,69.99355816761526,NA,NA,NA,NA,NA,23_0,NA,NA,1,NA,NA,NA,NA
EHA05415_bin.310.fa.gz,91.53897448176176,NA,NA,NA,NA,NA,24_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.136.fa.gz,86.41984240389426,NA,NA,NA,NA,NA,25_0,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.446.fa.gz,83.38754531131791,NA,NA,NA,NA,NA,26_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.50.fa.gz,74.63513390046683,NA,NA,NA,NA,NA,27_0,NA,NA,1,NA,NA,NA,NA
EHA05415_bin.70.fa.gz,66.75066316121072,NA,NA,NA,NA,NA,28_1,NA,NA,1,NA,NA,NA,NA
nhnw_bin.534.fa.gz,79.54621607481508,NA,NA,NA,NA,NA,28_2,NA,NA,1,NA,NA,NA,NA
EHA05415_bin.282.fa.gz,68.18395051282384,NA,NA,NA,NA,NA,29_0,NA,NA,1,NA,NA,NA,NA
