genome,completeness,contamination,location,length,N50
EHA05391_bin.443.fa.gz,65.1,7.08,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.443.fa.gz,1427250,8416
EHA05391_bin.170.fa.gz,97.65,3.41,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.170.fa.gz,1641451,63052
EHA05391_bin.234.fa.gz,72.52,1.99,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.234.fa.gz,1489780,60977
EHA05391_bin.339.fa.gz,85.37,0.03,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.339.fa.gz,1525309,63507
EHA05391_bin.89.fa.gz,65.18,0.16,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.89.fa.gz,2309691,17532
EHA05391_bin.312.fa.gz,69.23,0.71,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.312.fa.gz,1868839,11049
EHA05391_bin.532.fa.gz,90.76,1.19,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.532.fa.gz,2091413,94577
EHA05391_bin.413.fa.gz,89.56,2.18,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.413.fa.gz,1377120,25381
EHA05391_bin.574.fa.gz,100.0,2.37,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.574.fa.gz,1498725,25938
EHA05391_bin.120.fa.gz,88.16,5.98,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.120.fa.gz,1472288,22024
EHA05391_bin.328.fa.gz,91.56,2.51,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.328.fa.gz,1071977,37214
EHA05391_bin.342.fa.gz,99.96,1.8,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.342.fa.gz,1046863,39321
