genome,completeness,contamination,location,length,N50,centrality
EHA05391_bin.443.fa.gz,65.1,7.08,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.443.fa.gz,,,0.0
EHA05391_bin.170.fa.gz,97.65,3.41,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.170.fa.gz,1641451.0,63052.0,0.0
EHA05391_bin.234.fa.gz,72.52,1.99,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.234.fa.gz,1489780.0,60977.0,0.0
EHA05391_bin.339.fa.gz,85.37,0.03,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.339.fa.gz,1525309.0,63507.0,0.0
EHA05391_bin.89.fa.gz,65.18,0.16,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.89.fa.gz,,,0.0
EHA05391_bin.312.fa.gz,69.23,0.71,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.312.fa.gz,,,0.0
EHA05391_bin.532.fa.gz,90.76,1.19,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.532.fa.gz,2091413.0,94577.0,0.0
EHA05391_bin.413.fa.gz,89.56,2.18,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.413.fa.gz,1377120.0,25381.0,0.0
EHA05391_bin.574.fa.gz,100.0,2.37,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.574.fa.gz,1498725.0,25938.0,0.0
EHA05391_bin.120.fa.gz,88.16,5.98,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.120.fa.gz,1472288.0,22024.0,0.0
EHA05391_bin.328.fa.gz,91.56,2.51,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.328.fa.gz,1071977.0,37214.0,0.0
EHA05391_bin.342.fa.gz,99.96,1.8,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.342.fa.gz,1046863.0,39321.0,0.0
EHA05391_bin.418.fa.gz,88.52,5.69,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.418.fa.gz,1474345.0,5280.0,0.0
EHA05391_bin.419.fa.gz,90.67,0.45,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.419.fa.gz,1177814.0,34393.0,0.0
EHA05391_bin.58.fa.gz,97.55,0.02,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.58.fa.gz,2408126.0,35309.0,0.997068
EHA05391_bin.690.fa.gz,78.26,0.67,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.690.fa.gz,647123.0,3225.0,0.0
EHA05391_bin.262.fa.gz,88.75,1.91,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.262.fa.gz,2179343.0,4493.0,0.0
EHA05391_bin.68.fa.gz,75.46,4.66,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.68.fa.gz,1942205.0,17455.0,0.0
EHA05391_bin.92.fa.gz,80.07,0.25,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.92.fa.gz,1123807.0,19180.0,0.0
EHA05391_bin.382.fa.gz,92.68,4.14,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.382.fa.gz,1942235.0,35872.0,0.9918879999999999
EHA05391_bin.372.fa.gz,97.05,0.08,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.372.fa.gz,2179794.0,49211.0,0.0
EHA05391_bin.178.fa.gz,68.62,1.24,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.178.fa.gz,,,0.0
EHA05391_bin.435.fa.gz,97.93,1.57,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.435.fa.gz,1915178.0,6292.0,0.9862280000000001
EHA05391_bin.87.fa.gz,80.85,1.48,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.87.fa.gz,2201363.0,78723.0,0.0
EHA05391_bin.267.fa.gz,93.35,4.07,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.267.fa.gz,2427693.0,10414.0,0.0
EHA05391_bin.39.fa.gz,98.95,0.39,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.39.fa.gz,1202653.0,2997.0,0.0
EHA05391_bin.568.fa.gz,77.06,0.71,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.568.fa.gz,1409708.0,35873.0,0.0
EHA05391_bin.172.fa.gz,98.3,0.02,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.172.fa.gz,1325623.0,4449.0,0.0
EHA05391_bin.209.fa.gz,97.63,4.22,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.209.fa.gz,1897991.0,17730.0,0.0
EHA05391_bin.129.fa.gz,76.11,7.8,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.129.fa.gz,2462959.0,10543.0,0.0
EHA05391_bin.103.fa.gz,85.69,5.14,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.103.fa.gz,2035372.0,8419.0,0.0
EHA05391_bin.189.fa.gz,79.2,1.68,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.189.fa.gz,1416101.0,12752.0,0.0
EHA05391_bin.571.fa.gz,85.74,0.96,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.571.fa.gz,1634138.0,12600.0,0.0
EHA05391_bin.126.fa.gz,96.64,0.23,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.126.fa.gz,1809098.0,23253.0,0.976469
EHA05391_bin.93.fa.gz,90.32,2.64,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.93.fa.gz,1593266.0,19870.0,0.0
EHA05391_bin.351.fa.gz,95.41,3.18,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.351.fa.gz,2245669.0,73435.0,0.0
EHA05391_bin.636.fa.gz,86.55,1.2,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.636.fa.gz,815462.0,3743.0,0.0
EHA05391_bin.203.fa.gz,61.85,1.2,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.203.fa.gz,,,0.0
EHA05391_bin.274.fa.gz,97.93,2.64,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.274.fa.gz,1140425.0,8014.0,0.0
EHA05391_bin.377.fa.gz,94.71,0.07,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.377.fa.gz,2285239.0,9306.0,0.992459
EHA05391_bin.526.fa.gz,72.98,0.84,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.526.fa.gz,2056705.0,53035.0,0.0
EHA05391_bin.593.fa.gz,77.03,4.69,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.593.fa.gz,1545583.0,10431.0,0.0
EHA05391_bin.401.fa.gz,91.04,0.21,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.401.fa.gz,2175741.0,50794.0,0.0
EHA05391_bin.222.fa.gz,99.77,0.24,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.222.fa.gz,996967.0,4432.0,0.0
EHA05391_bin.61.fa.gz,50.6,3.97,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.61.fa.gz,,,0.0
EHA05391_bin.256.fa.gz,94.53,1.12,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.256.fa.gz,1692371.0,13543.0,0.0
EHA05391_bin.494.fa.gz,66.0,1.22,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.494.fa.gz,,,0.0
EHA05391_bin.24.fa.gz,54.37,9.77,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.24.fa.gz,,,0.0
EHA05391_bin.673.fa.gz,58.31,0.59,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.673.fa.gz,,,0.0
EHA05391_bin.180.fa.gz,97.81,1.59,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.180.fa.gz,750532.0,16635.0,0.0
EHA05391_bin.582.fa.gz,87.6,4.12,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.582.fa.gz,972091.0,27625.0,0.0
EHA05391_bin.556.fa.gz,91.85,1.67,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.556.fa.gz,2027262.0,4928.0,0.0
EHA05391_bin.374.fa.gz,99.92,1.81,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.374.fa.gz,1406529.0,8181.0,0.0
